img_id,scan_name,classname,gt_bbox_index,pred_bbox_index,spatial_zone
0,scene0011_00,cabinet,0,169.0,3
0,scene0011_00,cabinet,16,180.0,3
0,scene0011_00,cabinet,22,,4
0,scene0011_00,table,1,861.0,3
0,scene0011_00,table,14,834.0,3
0,scene0011_00,chair,2,242.0,4
0,scene0011_00,chair,3,231.0,3
0,scene0011_00,chair,4,225.0,3
0,scene0011_00,chair,5,274.0,3
0,scene0011_00,chair,6,258.0,3
0,scene0011_00,chair,7,270.0,3
0,scene0011_00,chair,8,250.0,3
0,scene0011_00,chair,9,245.0,3
0,scene0011_00,chair,10,221.0,3
0,scene0011_00,chair,11,246.0,3
0,scene0011_00,chair,12,262.0,3
0,scene0011_00,otherfurniture,13,511.0,3
0,scene0011_00,otherfurniture,25,529.0,4
0,scene0011_00,refrigerator,15,,3
0,scene0011_00,refrigerator,21,,4
0,scene0011_00,window,17,958.0,4
0,scene0011_00,window,18,986.0,4
0,scene0011_00,counter,19,314.0,3
0,scene0011_00,sink,20,722.0,3
0,scene0011_00,door,23,452.0,4
0,scene0011_00,door,24,452.0,4
1,scene0011_01,refrigerator,0,629.0,3
1,scene0011_01,refrigerator,20,,4
1,scene0011_01,chair,1,241.0,2
1,scene0011_01,chair,2,266.0,2
1,scene0011_01,chair,3,226.0,3
1,scene0011_01,chair,4,236.0,2
1,scene0011_01,chair,5,225.0,3
1,scene0011_01,chair,6,232.0,3
1,scene0011_01,chair,7,259.0,3
1,scene0011_01,chair,8,249.0,2
1,scene0011_01,chair,9,231.0,2
1,scene0011_01,chair,10,267.0,2
1,scene0011_01,counter,11,310.0,2
1,scene0011_01,window,12,973.0,2
1,scene0011_01,table,13,826.0,3
1,scene0011_01,otherfurniture,14,545.0,4
1,scene0011_01,otherfurniture,16,520.0,3
1,scene0011_01,otherfurniture,17,546.0,3
1,scene0011_01,cabinet,15,209.0,3
1,scene0011_01,cabinet,18,,3
1,scene0011_01,cabinet,21,,4
1,scene0011_01,sink,19,,2
1,scene0011_01,door,22,477.0,4
2,scene0015_00,chair,0,310.0,2
2,scene0015_00,chair,1,291.0,3
2,scene0015_00,chair,4,290.0,3
2,scene0015_00,chair,5,,3
2,scene0015_00,chair,6,343.0,2
2,scene0015_00,chair,7,305.0,3
2,scene0015_00,chair,8,341.0,3
2,scene0015_00,chair,9,276.0,3
2,scene0015_00,chair,10,,3
2,scene0015_00,chair,11,328.0,3
2,scene0015_00,chair,12,283.0,3
2,scene0015_00,chair,13,324.0,2
2,scene0015_00,chair,14,313.0,3
2,scene0015_00,chair,15,320.0,3
2,scene0015_00,chair,16,296.0,2
2,scene0015_00,chair,17,288.0,4
2,scene0015_00,chair,18,312.0,3
2,scene0015_00,chair,19,,4
2,scene0015_00,chair,20,298.0,2
2,scene0015_00,chair,28,329.0,3
2,scene0015_00,chair,29,323.0,2
2,scene0015_00,chair,30,344.0,3
2,scene0015_00,window,2,,4
2,scene0015_00,window,3,,4
2,scene0015_00,table,21,1068.0,3
2,scene0015_00,table,22,1044.0,3
2,scene0015_00,table,23,1045.0,3
2,scene0015_00,table,24,1086.0,2
2,scene0015_00,table,25,1053.0,4
2,scene0015_00,table,26,1099.0,4
2,scene0015_00,table,27,1090.0,3
3,scene0019_00,chair,0,201.0,4
3,scene0019_00,chair,1,,3
3,scene0019_00,chair,5,,4
3,scene0019_00,chair,6,,4
3,scene0019_00,chair,7,,4
3,scene0019_00,chair,8,,3
3,scene0019_00,chair,9,,4
3,scene0019_00,chair,11,203.0,4
3,scene0019_00,chair,12,,4
3,scene0019_00,chair,13,199.0,4
3,scene0019_00,sofa,2,632.0,4
3,scene0019_00,otherfurniture,3,409.0,3
3,scene0019_00,door,4,369.0,2
3,scene0019_00,door,10,360.0,2
4,scene0019_01,chair,0,208.0,4
4,scene0019_01,chair,1,,4
4,scene0019_01,chair,2,,4
4,scene0019_01,chair,3,218.0,3
4,scene0019_01,chair,4,,3
4,scene0019_01,chair,5,,4
4,scene0019_01,chair,6,,4
4,scene0019_01,chair,7,211.0,4
4,scene0019_01,chair,12,193.0,4
4,scene0019_01,chair,13,222.0,4
4,scene0019_01,sofa,8,666.0,4
4,scene0019_01,door,9,411.0,2
4,scene0019_01,door,10,382.0,2
4,scene0019_01,otherfurniture,11,432.0,3
5,scene0025_00,sofa,0,667.0,3
5,scene0025_00,sofa,1,664.0,3
5,scene0025_00,door,2,411.0,4
5,scene0025_00,desk,3,352.0,3
5,scene0025_00,desk,4,344.0,3
5,scene0025_00,chair,5,213.0,3
5,scene0025_00,chair,6,228.0,3
5,scene0025_00,cabinet,7,159.0,4
5,scene0025_00,cabinet,8,,4
5,scene0025_00,cabinet,9,180.0,3
5,scene0025_00,cabinet,15,152.0,4
5,scene0025_00,otherfurniture,10,450.0,4
5,scene0025_00,otherfurniture,11,433.0,4
5,scene0025_00,otherfurniture,12,444.0,4
5,scene0025_00,window,13,,4
5,scene0025_00,window,14,800.0,4
6,scene0025_01,sofa,0,693.0,4
6,scene0025_01,sofa,1,734.0,4
6,scene0025_01,cabinet,2,147.0,4
6,scene0025_01,cabinet,4,181.0,4
6,scene0025_01,cabinet,13,153.0,4
6,scene0025_01,cabinet,14,149.0,4
6,scene0025_01,table,3,774.0,3
6,scene0025_01,chair,5,206.0,3
6,scene0025_01,chair,6,234.0,3
6,scene0025_01,door,7,396.0,4
6,scene0025_01,door,11,396.0,4
6,scene0025_01,desk,8,356.0,3
6,scene0025_01,window,9,,4
6,scene0025_01,window,10,865.0,4
6,scene0025_01,window,12,,4
7,scene0025_02,sofa,0,651.0,4
7,scene0025_02,sofa,7,637.0,4
7,scene0025_02,door,1,366.0,4
7,scene0025_02,desk,2,355.0,3
7,scene0025_02,desk,3,326.0,3
7,scene0025_02,cabinet,4,164.0,4
7,scene0025_02,cabinet,6,144.0,4
7,scene0025_02,cabinet,8,139.0,4
7,scene0025_02,cabinet,9,,4
7,scene0025_02,chair,5,188.0,3
7,scene0025_02,chair,12,210.0,3
7,scene0025_02,window,10,,4
7,scene0025_02,window,11,788.0,4
8,scene0030_00,chair,0,268.0,3
8,scene0030_00,chair,1,312.0,3
8,scene0030_00,chair,2,273.0,3
8,scene0030_00,chair,3,263.0,4
8,scene0030_00,chair,4,281.0,3
8,scene0030_00,chair,5,286.0,3
8,scene0030_00,chair,6,298.0,4
8,scene0030_00,chair,7,262.0,3
8,scene0030_00,chair,8,317.0,3
8,scene0030_00,chair,9,316.0,3
8,scene0030_00,chair,10,305.0,2
8,scene0030_00,chair,11,267.0,4
8,scene0030_00,chair,12,295.0,3
8,scene0030_00,chair,13,290.0,3
8,scene0030_00,chair,14,282.0,3
8,scene0030_00,chair,15,265.0,3
8,scene0030_00,chair,27,289.0,4
8,scene0030_00,bookshelf,16,132.0,4
8,scene0030_00,bookshelf,17,174.0,4
8,scene0030_00,bookshelf,18,129.0,4
8,scene0030_00,bookshelf,19,168.0,4
8,scene0030_00,bookshelf,31,,4
8,scene0030_00,window,20,,4
8,scene0030_00,window,21,,4
8,scene0030_00,window,30,,4
8,scene0030_00,table,22,1013.0,3
8,scene0030_00,table,23,,2
8,scene0030_00,table,24,963.0,4
8,scene0030_00,table,25,1002.0,4
8,scene0030_00,table,26,,2
8,scene0030_00,door,28,548.0,4
8,scene0030_00,door,32,548.0,4
8,scene0030_00,otherfurniture,29,,4
9,scene0030_01,bookshelf,0,,4
9,scene0030_01,bookshelf,1,152.0,4
9,scene0030_01,bookshelf,2,125.0,4
9,scene0030_01,bookshelf,18,,4
9,scene0030_01,bookshelf,19,151.0,4
9,scene0030_01,chair,3,249.0,3
9,scene0030_01,chair,4,241.0,3
9,scene0030_01,chair,5,252.0,3
9,scene0030_01,chair,6,274.0,4
9,scene0030_01,chair,7,255.0,3
9,scene0030_01,chair,13,271.0,4
