img_id,scan_name,classname,gt_bbox_index,pred_bbox_index,spatial_zone
0,scene0011_00,cabinet,0,,3
0,scene0011_00,cabinet,16,,3
0,scene0011_00,cabinet,22,,4
0,scene0011_00,table,1,908.0,3
0,scene0011_00,table,14,905.0,3
0,scene0011_00,chair,2,231.0,4
0,scene0011_00,chair,3,276.0,3
0,scene0011_00,chair,4,234.0,3
0,scene0011_00,chair,5,248.0,3
0,scene0011_00,chair,6,251.0,3
0,scene0011_00,chair,7,233.0,3
0,scene0011_00,chair,8,258.0,3
0,scene0011_00,chair,9,242.0,3
0,scene0011_00,chair,10,250.0,3
0,scene0011_00,chair,11,241.0,3
0,scene0011_00,chair,12,271.0,3
0,scene0011_00,otherfurniture,13,538.0,3
0,scene0011_00,otherfurniture,25,,4
0,scene0011_00,refrigerator,15,663.0,3
0,scene0011_00,refrigerator,21,656.0,4
0,scene0011_00,window,17,1018.0,4
0,scene0011_00,window,18,1015.0,4
0,scene0011_00,counter,19,,3
0,scene0011_00,sink,20,,3
0,scene0011_00,door,23,468.0,4
0,scene0011_00,door,24,477.0,4
1,scene0011_01,refrigerator,0,688.0,3
1,scene0011_01,refrigerator,20,647.0,4
1,scene0011_01,chair,1,252.0,2
1,scene0011_01,chair,2,288.0,2
1,scene0011_01,chair,3,271.0,3
1,scene0011_01,chair,4,279.0,2
1,scene0011_01,chair,5,259.0,3
1,scene0011_01,chair,6,236.0,3
1,scene0011_01,chair,7,247.0,3
1,scene0011_01,chair,8,270.0,2
1,scene0011_01,chair,9,284.0,2
1,scene0011_01,chair,10,237.0,2
1,scene0011_01,counter,11,319.0,2
1,scene0011_01,window,12,986.0,2
1,scene0011_01,table,13,907.0,3
1,scene0011_01,otherfurniture,14,,4
1,scene0011_01,otherfurniture,16,545.0,3
1,scene0011_01,otherfurniture,17,557.0,3
1,scene0011_01,cabinet,15,196.0,3
1,scene0011_01,cabinet,18,,3
1,scene0011_01,cabinet,21,,4
1,scene0011_01,sink,19,,2
1,scene0011_01,door,22,467.0,4
2,scene0015_00,chair,0,301.0,2
2,scene0015_00,chair,1,336.0,3
2,scene0015_00,chair,4,345.0,3
2,scene0015_00,chair,5,,3
2,scene0015_00,chair,6,335.0,2
2,scene0015_00,chair,7,368.0,3
2,scene0015_00,chair,8,322.0,3
2,scene0015_00,chair,9,296.0,3
2,scene0015_00,chair,10,351.0,3
2,scene0015_00,chair,11,330.0,3
2,scene0015_00,chair,12,358.0,3
2,scene0015_00,chair,13,305.0,2
2,scene0015_00,chair,14,346.0,3
2,scene0015_00,chair,15,324.0,3
2,scene0015_00,chair,16,306.0,2
2,scene0015_00,chair,17,310.0,4
2,scene0015_00,chair,18,318.0,3
2,scene0015_00,chair,19,317.0,4
2,scene0015_00,chair,20,340.0,2
2,scene0015_00,chair,28,350.0,3
2,scene0015_00,chair,29,327.0,2
2,scene0015_00,chair,30,311.0,3
2,scene0015_00,window,2,,4
2,scene0015_00,window,3,,4
2,scene0015_00,table,21,1148.0,3
2,scene0015_00,table,22,1143.0,3
2,scene0015_00,table,23,1153.0,3
2,scene0015_00,table,24,1147.0,2
2,scene0015_00,table,25,1179.0,4
2,scene0015_00,table,26,1170.0,4
2,scene0015_00,table,27,1134.0,3
3,scene0019_00,chair,0,152.0,4
3,scene0019_00,chair,1,,3
3,scene0019_00,chair,5,165.0,4
3,scene0019_00,chair,6,165.0,4
3,scene0019_00,chair,7,168.0,4
3,scene0019_00,chair,8,,3
3,scene0019_00,chair,9,,4
3,scene0019_00,chair,11,141.0,4
3,scene0019_00,chair,12,,4
3,scene0019_00,chair,13,162.0,4
3,scene0019_00,sofa,2,523.0,4
3,scene0019_00,otherfurniture,3,346.0,3
3,scene0019_00,door,4,284.0,2
3,scene0019_00,door,10,301.0,2
4,scene0019_01,chair,0,197.0,4
4,scene0019_01,chair,1,,4
4,scene0019_01,chair,2,185.0,4
4,scene0019_01,chair,3,199.0,3
4,scene0019_01,chair,4,192.0,3
4,scene0019_01,chair,5,,4
4,scene0019_01,chair,6,,4
4,scene0019_01,chair,7,,4
4,scene0019_01,chair,12,195.0,4
4,scene0019_01,chair,13,190.0,4
4,scene0019_01,sofa,8,587.0,4
4,scene0019_01,door,9,336.0,2
4,scene0019_01,door,10,323.0,2
4,scene0019_01,otherfurniture,11,368.0,3
5,scene0025_00,sofa,0,677.0,3
5,scene0025_00,sofa,1,682.0,3
5,scene0025_00,door,2,368.0,4
5,scene0025_00,desk,3,334.0,3
5,scene0025_00,desk,4,365.0,3
5,scene0025_00,chair,5,194.0,3
5,scene0025_00,chair,6,197.0,3
5,scene0025_00,cabinet,7,174.0,4
5,scene0025_00,cabinet,8,144.0,4
