img_id,scan_name,classname,gt_bbox_index,pred_bbox_index
0,scene0011_00,cabinet,0,194.0
0,scene0011_00,cabinet,16,175.0
0,scene0011_00,cabinet,22,
0,scene0011_00,table,1,884.0
0,scene0011_00,table,14,868.0
0,scene0011_00,chair,2,229.0
0,scene0011_00,chair,3,234.0
0,scene0011_00,chair,4,260.0
0,scene0011_00,chair,5,238.0
0,scene0011_00,chair,6,253.0
0,scene0011_00,chair,7,274.0
0,scene0011_00,chair,8,247.0
0,scene0011_00,chair,9,266.0
0,scene0011_00,chair,10,252.0
0,scene0011_00,chair,11,231.0
0,scene0011_00,chair,12,270.0
0,scene0011_00,otherfurniture,13,
0,scene0011_00,otherfurniture,25,
0,scene0011_00,refrigerator,15,
0,scene0011_00,refrigerator,21,
0,scene0011_00,window,17,976.0
0,scene0011_00,window,18,1023.0
0,scene0011_00,counter,19,334.0
0,scene0011_00,sink,20,782.0
0,scene0011_00,door,23,487.0
0,scene0011_00,door,24,471.0
1,scene0011_01,refrigerator,0,
1,scene0011_01,refrigerator,20,
1,scene0011_01,chair,1,243.0
1,scene0011_01,chair,2,235.0
1,scene0011_01,chair,3,232.0
1,scene0011_01,chair,4,214.0
1,scene0011_01,chair,5,229.0
1,scene0011_01,chair,6,244.0
1,scene0011_01,chair,7,216.0
1,scene0011_01,chair,8,210.0
1,scene0011_01,chair,9,219.0
1,scene0011_01,chair,10,211.0
1,scene0011_01,counter,11,272.0
1,scene0011_01,window,12,908.0
1,scene0011_01,table,13,797.0
1,scene0011_01,otherfurniture,14,472.0
1,scene0011_01,otherfurniture,16,485.0
1,scene0011_01,otherfurniture,17,467.0
1,scene0011_01,cabinet,15,203.0
1,scene0011_01,cabinet,18,
1,scene0011_01,cabinet,21,
1,scene0011_01,sink,19,
1,scene0011_01,door,22,427.0
2,scene0015_00,chair,0,344.0
2,scene0015_00,chair,1,284.0
2,scene0015_00,chair,4,295.0
2,scene0015_00,chair,5,
2,scene0015_00,chair,6,297.0
2,scene0015_00,chair,7,325.0
2,scene0015_00,chair,8,335.0
2,scene0015_00,chair,9,276.0
2,scene0015_00,chair,10,334.0
2,scene0015_00,chair,11,341.0
2,scene0015_00,chair,12,309.0
2,scene0015_00,chair,13,321.0
2,scene0015_00,chair,14,293.0
2,scene0015_00,chair,15,291.0
2,scene0015_00,chair,16,328.0
2,scene0015_00,chair,17,339.0
2,scene0015_00,chair,18,298.0
2,scene0015_00,chair,19,318.0
2,scene0015_00,chair,20,
2,scene0015_00,chair,28,308.0
2,scene0015_00,chair,29,
2,scene0015_00,chair,30,337.0
2,scene0015_00,window,2,
2,scene0015_00,window,3,
2,scene0015_00,table,21,1075.0
2,scene0015_00,table,22,1086.0
2,scene0015_00,table,23,1045.0
2,scene0015_00,table,24,1062.0
2,scene0015_00,table,25,1090.0
2,scene0015_00,table,26,1060.0
2,scene0015_00,table,27,1042.0
3,scene0019_00,chair,0,200.0
3,scene0019_00,chair,1,
3,scene0019_00,chair,5,206.0
3,scene0019_00,chair,6,181.0
3,scene0019_00,chair,7,179.0
3,scene0019_00,chair,8,
3,scene0019_00,chair,9,190.0
3,scene0019_00,chair,11,
3,scene0019_00,chair,12,
3,scene0019_00,chair,13,184.0
3,scene0019_00,sofa,2,621.0
3,scene0019_00,otherfurniture,3,392.0
3,scene0019_00,door,4,362.0
3,scene0019_00,door,10,366.0
4,scene0019_01,chair,0,214.0
4,scene0019_01,chair,1,193.0
4,scene0019_01,chair,2,189.0
4,scene0019_01,chair,3,215.0
4,scene0019_01,chair,4,
4,scene0019_01,chair,5,
4,scene0019_01,chair,6,
4,scene0019_01,chair,7,
4,scene0019_01,chair,12,213.0
4,scene0019_01,chair,13,201.0
4,scene0019_01,sofa,8,689.0
4,scene0019_01,door,9,389.0
4,scene0019_01,door,10,375.0
4,scene0019_01,otherfurniture,11,428.0
5,scene0025_00,sofa,0,739.0
5,scene0025_00,sofa,1,730.0
5,scene0025_00,door,2,441.0
5,scene0025_00,desk,3,413.0
5,scene0025_00,desk,4,410.0
5,scene0025_00,chair,5,237.0
5,scene0025_00,chair,6,215.0
5,scene0025_00,cabinet,7,198.0
5,scene0025_00,cabinet,8,
5,scene0025_00,cabinet,9,162.0
5,scene0025_00,cabinet,15,156.0
5,scene0025_00,otherfurniture,10,
5,scene0025_00,otherfurniture,11,492.0
5,scene0025_00,otherfurniture,12,
5,scene0025_00,window,13,
5,scene0025_00,window,14,905.0
6,scene0025_01,sofa,0,838.0
6,scene0025_01,sofa,1,842.0
6,scene0025_01,cabinet,2,178.0
6,scene0025_01,cabinet,4,174.0
6,scene0025_01,cabinet,13,186.0
6,scene0025_01,cabinet,14,177.0
6,scene0025_01,table,3,876.0
6,scene0025_01,chair,5,237.0
6,scene0025_01,chair,6,252.0
6,scene0025_01,door,7,482.0
6,scene0025_01,door,11,482.0
6,scene0025_01,desk,8,446.0
6,scene0025_01,window,9,
6,scene0025_01,window,10,994.0
6,scene0025_01,window,12,
7,scene0025_02,sofa,0,646.0
7,scene0025_02,sofa,7,640.0
7,scene0025_02,door,1,384.0
7,scene0025_02,desk,2,313.0
7,scene0025_02,desk,3,343.0
7,scene0025_02,cabinet,4,140.0
7,scene0025_02,cabinet,6,160.0
7,scene0025_02,cabinet,8,139.0
7,scene0025_02,cabinet,9,
7,scene0025_02,chair,5,212.0
7,scene0025_02,chair,12,197.0
7,scene0025_02,window,10,
7,scene0025_02,window,11,751.0
8,scene0030_00,chair,0,258.0
8,scene0030_00,chair,1,247.0
8,scene0030_00,chair,2,265.0
8,scene0030_00,chair,3,296.0
8,scene0030_00,chair,4,285.0
8,scene0030_00,chair,5,
8,scene0030_00,chair,6,248.0
8,scene0030_00,chair,7,251.0
8,scene0030_00,chair,8,266.0
8,scene0030_00,chair,9,284.0
8,scene0030_00,chair,10,293.0
8,scene0030_00,chair,11,304.0
8,scene0030_00,chair,12,268.0
8,scene0030_00,chair,13,279.0
8,scene0030_00,chair,14,297.0
8,scene0030_00,chair,15,299.0
8,scene0030_00,chair,27,301.0
8,scene0030_00,bookshelf,16,180.0
