img_id,scan_name,classname,gt_bbox_index,pred_bbox_index,spatial_zone
0,scene0011_00,cabinet,0,194.0,3
0,scene0011_00,cabinet,16,175.0,3
0,scene0011_00,cabinet,22,,4
0,scene0011_00,table,1,884.0,3
0,scene0011_00,table,14,868.0,3
0,scene0011_00,chair,2,229.0,4
0,scene0011_00,chair,3,234.0,3
0,scene0011_00,chair,4,260.0,3
0,scene0011_00,chair,5,238.0,3
0,scene0011_00,chair,6,253.0,3
0,scene0011_00,chair,7,274.0,3
0,scene0011_00,chair,8,247.0,3
0,scene0011_00,chair,9,266.0,3
0,scene0011_00,chair,10,252.0,3
0,scene0011_00,chair,11,231.0,3
0,scene0011_00,chair,12,270.0,3
0,scene0011_00,otherfurniture,13,,3
0,scene0011_00,otherfurniture,25,,4
0,scene0011_00,refrigerator,15,,3
0,scene0011_00,refrigerator,21,,4
0,scene0011_00,window,17,976.0,4
0,scene0011_00,window,18,1023.0,4
0,scene0011_00,counter,19,334.0,3
0,scene0011_00,sink,20,782.0,3
0,scene0011_00,door,23,487.0,4
0,scene0011_00,door,24,471.0,4
1,scene0011_01,refrigerator,0,,3
1,scene0011_01,refrigerator,20,,4
1,scene0011_01,chair,1,243.0,2
1,scene0011_01,chair,2,235.0,2
1,scene0011_01,chair,3,232.0,3
1,scene0011_01,chair,4,214.0,2
1,scene0011_01,chair,5,229.0,3
1,scene0011_01,chair,6,244.0,3
1,scene0011_01,chair,7,216.0,3
1,scene0011_01,chair,8,210.0,2
1,scene0011_01,chair,9,219.0,2
1,scene0011_01,chair,10,211.0,2
1,scene0011_01,counter,11,272.0,2
1,scene0011_01,window,12,908.0,2
1,scene0011_01,table,13,797.0,3
1,scene0011_01,otherfurniture,14,472.0,4
1,scene0011_01,otherfurniture,16,485.0,3
1,scene0011_01,otherfurniture,17,467.0,3
1,scene0011_01,cabinet,15,203.0,3
1,scene0011_01,cabinet,18,,3
1,scene0011_01,cabinet,21,,4
1,scene0011_01,sink,19,,2
1,scene0011_01,door,22,427.0,4
2,scene0015_00,chair,0,344.0,2
2,scene0015_00,chair,1,284.0,3
2,scene0015_00,chair,4,295.0,3
2,scene0015_00,chair,5,,3
2,scene0015_00,chair,6,297.0,2
2,scene0015_00,chair,7,325.0,3
2,scene0015_00,chair,8,335.0,3
2,scene0015_00,chair,9,276.0,3
2,scene0015_00,chair,10,334.0,3
2,scene0015_00,chair,11,341.0,3
2,scene0015_00,chair,12,309.0,3
2,scene0015_00,chair,13,321.0,2
2,scene0015_00,chair,14,293.0,3
2,scene0015_00,chair,15,291.0,3
2,scene0015_00,chair,16,328.0,2
2,scene0015_00,chair,17,339.0,4
2,scene0015_00,chair,18,298.0,3
2,scene0015_00,chair,19,318.0,4
2,scene0015_00,chair,20,,2
2,scene0015_00,chair,28,308.0,3
2,scene0015_00,chair,29,,2
2,scene0015_00,chair,30,337.0,3
2,scene0015_00,window,2,,4
