img_id,scan_name,classname,gt_bbox_index,pred_bbox_index
0,scene0011_00,cabinet,0,
0,scene0011_00,cabinet,16,
0,scene0011_00,cabinet,22,
0,scene0011_00,table,1,792.0
0,scene0011_00,table,14,814.0
0,scene0011_00,chair,2,219.0
0,scene0011_00,chair,3,211.0
0,scene0011_00,chair,4,239.0
0,scene0011_00,chair,5,237.0
0,scene0011_00,chair,6,249.0
0,scene0011_00,chair,7,241.0
0,scene0011_00,chair,8,232.0
0,scene0011_00,chair,9,235.0
0,scene0011_00,chair,10,
0,scene0011_00,chair,11,206.0
0,scene0011_00,chair,12,228.0
0,scene0011_00,otherfurniture,13,482.0
0,scene0011_00,otherfurniture,25,462.0
0,scene0011_00,refrigerator,15,581.0
0,scene0011_00,refrigerator,21,
0,scene0011_00,window,17,884.0
0,scene0011_00,window,18,872.0
0,scene0011_00,counter,19,294.0
0,scene0011_00,sink,20,
0,scene0011_00,door,23,
0,scene0011_00,door,24,427.0
1,scene0011_01,refrigerator,0,
1,scene0011_01,refrigerator,20,
1,scene0011_01,chair,1,266.0
1,scene0011_01,chair,2,229.0
1,scene0011_01,chair,3,257.0
1,scene0011_01,chair,4,226.0
1,scene0011_01,chair,5,
1,scene0011_01,chair,6,233.0
1,scene0011_01,chair,7,273.0
1,scene0011_01,chair,8,222.0
1,scene0011_01,chair,9,254.0
1,scene0011_01,chair,10,263.0
1,scene0011_01,counter,11,310.0
1,scene0011_01,window,12,971.0
1,scene0011_01,table,13,844.0
1,scene0011_01,otherfurniture,14,
1,scene0011_01,otherfurniture,16,524.0
1,scene0011_01,otherfurniture,17,
1,scene0011_01,cabinet,15,213.0
1,scene0011_01,cabinet,18,
1,scene0011_01,cabinet,21,217.0
1,scene0011_01,sink,19,
1,scene0011_01,door,22,441.0
2,scene0015_00,chair,0,338.0
2,scene0015_00,chair,1,332.0
2,scene0015_00,chair,4,283.0
2,scene0015_00,chair,5,
2,scene0015_00,chair,6,319.0
2,scene0015_00,chair,7,318.0
2,scene0015_00,chair,8,285.0
2,scene0015_00,chair,9,276.0
2,scene0015_00,chair,10,307.0
2,scene0015_00,chair,11,296.0
2,scene0015_00,chair,12,299.0
2,scene0015_00,chair,13,323.0
2,scene0015_00,chair,14,
2,scene0015_00,chair,15,290.0
2,scene0015_00,chair,16,306.0
2,scene0015_00,chair,17,333.0
2,scene0015_00,chair,18,297.0
2,scene0015_00,chair,19,295.0
2,scene0015_00,chair,20,331.0
2,scene0015_00,chair,28,336.0
2,scene0015_00,chair,29,284.0
2,scene0015_00,chair,30,324.0
2,scene0015_00,window,2,1200.0
2,scene0015_00,window,3,1199.0
2,scene0015_00,table,21,1059.0
2,scene0015_00,table,22,1064.0
2,scene0015_00,table,23,1048.0
2,scene0015_00,table,24,1057.0
2,scene0015_00,table,25,1040.0
2,scene0015_00,table,26,1094.0
2,scene0015_00,table,27,1080.0
3,scene0019_00,chair,0,197.0
3,scene0019_00,chair,1,
3,scene0019_00,chair,5,191.0
3,scene0019_00,chair,6,218.0
3,scene0019_00,chair,7,
3,scene0019_00,chair,8,
3,scene0019_00,chair,9,
3,scene0019_00,chair,11,
