img_id,scan_name,classname,gt_bbox_index,pred_bbox_index,spatial_zone
0,scene0011_00,cabinet,0,,3
0,scene0011_00,cabinet,16,,3
0,scene0011_00,cabinet,22,,4
0,scene0011_00,table,1,792.0,3
0,scene0011_00,table,14,814.0,3
0,scene0011_00,chair,2,219.0,4
0,scene0011_00,chair,3,211.0,3
0,scene0011_00,chair,4,239.0,3
0,scene0011_00,chair,5,237.0,3
0,scene0011_00,chair,6,249.0,3
0,scene0011_00,chair,7,241.0,3
0,scene0011_00,chair,8,232.0,3
0,scene0011_00,chair,9,235.0,3
0,scene0011_00,chair,10,,3
0,scene0011_00,chair,11,206.0,3
0,scene0011_00,chair,12,228.0,3
0,scene0011_00,otherfurniture,13,482.0,3
0,scene0011_00,otherfurniture,25,462.0,4
0,scene0011_00,refrigerator,15,581.0,3
0,scene0011_00,refrigerator,21,,4
0,scene0011_00,window,17,884.0,4
0,scene0011_00,window,18,872.0,4
0,scene0011_00,counter,19,294.0,3
0,scene0011_00,sink,20,,3
0,scene0011_00,door,23,,4
0,scene0011_00,door,24,427.0,4
1,scene0011_01,refrigerator,0,,3
1,scene0011_01,refrigerator,20,,4
1,scene0011_01,chair,1,266.0,2
1,scene0011_01,chair,2,229.0,2
1,scene0011_01,chair,3,257.0,3
1,scene0011_01,chair,4,226.0,2
1,scene0011_01,chair,5,,3
1,scene0011_01,chair,6,233.0,3
1,scene0011_01,chair,7,273.0,3
1,scene0011_01,chair,8,222.0,2
1,scene0011_01,chair,9,254.0,2
1,scene0011_01,chair,10,263.0,2
1,scene0011_01,counter,11,310.0,2
1,scene0011_01,window,12,971.0,2
1,scene0011_01,table,13,844.0,3
1,scene0011_01,otherfurniture,14,,4
1,scene0011_01,otherfurniture,16,524.0,3
1,scene0011_01,otherfurniture,17,,3
1,scene0011_01,cabinet,15,213.0,3
1,scene0011_01,cabinet,18,,3
1,scene0011_01,cabinet,21,217.0,4
1,scene0011_01,sink,19,,2
1,scene0011_01,door,22,441.0,4
2,scene0015_00,chair,0,338.0,2
2,scene0015_00,chair,1,332.0,3
2,scene0015_00,chair,4,283.0,3
2,scene0015_00,chair,5,,3
2,scene0015_00,chair,6,319.0,2
2,scene0015_00,chair,7,318.0,3
2,scene0015_00,chair,8,285.0,3
2,scene0015_00,chair,9,276.0,3
2,scene0015_00,chair,10,307.0,3
2,scene0015_00,chair,11,296.0,3
2,scene0015_00,chair,12,299.0,3
2,scene0015_00,chair,13,323.0,2
2,scene0015_00,chair,14,,3
2,scene0015_00,chair,15,290.0,3
2,scene0015_00,chair,16,306.0,2
2,scene0015_00,chair,17,333.0,4
2,scene0015_00,chair,18,297.0,3
2,scene0015_00,chair,19,295.0,4
2,scene0015_00,chair,20,331.0,2
2,scene0015_00,chair,28,336.0,3
2,scene0015_00,chair,29,284.0,2
2,scene0015_00,chair,30,324.0,3
2,scene0015_00,window,2,1200.0,4
2,scene0015_00,window,3,1199.0,4
2,scene0015_00,table,21,1059.0,3
2,scene0015_00,table,22,1064.0,3
2,scene0015_00,table,23,1048.0,3
2,scene0015_00,table,24,1057.0,2
2,scene0015_00,table,25,1040.0,4
2,scene0015_00,table,26,1094.0,4
2,scene0015_00,table,27,1080.0,3
3,scene0019_00,chair,0,197.0,4
3,scene0019_00,chair,1,,3
3,scene0019_00,chair,5,191.0,4
3,scene0019_00,chair,6,218.0,4
3,scene0019_00,chair,7,,4
3,scene0019_00,chair,8,,3
3,scene0019_00,chair,9,,4
3,scene0019_00,chair,11,,4
3,scene0019_00,chair,12,186.0,4
3,scene0019_00,chair,13,192.0,4
3,scene0019_00,sofa,2,633.0,4
3,scene0019_00,otherfurniture,3,424.0,3
3,scene0019_00,door,4,354.0,2
3,scene0019_00,door,10,395.0,2
4,scene0019_01,chair,0,180.0,4
4,scene0019_01,chair,1,189.0,4
4,scene0019_01,chair,2,,4
4,scene0019_01,chair,3,219.0,3
4,scene0019_01,chair,4,,3
4,scene0019_01,chair,5,,4
4,scene0019_01,chair,6,,4
4,scene0019_01,chair,7,,4
4,scene0019_01,chair,12,187.0,4
4,scene0019_01,chair,13,222.0,4
4,scene0019_01,sofa,8,668.0,4
4,scene0019_01,door,9,379.0,2
4,scene0019_01,door,10,368.0,2
4,scene0019_01,otherfurniture,11,419.0,3
5,scene0025_00,sofa,0,683.0,3
5,scene0025_00,sofa,1,679.0,3
5,scene0025_00,door,2,410.0,4
5,scene0025_00,desk,3,381.0,3
5,scene0025_00,desk,4,370.0,3
5,scene0025_00,chair,5,210.0,3
5,scene0025_00,chair,6,197.0,3
5,scene0025_00,cabinet,7,156.0,4
5,scene0025_00,cabinet,8,,4
5,scene0025_00,cabinet,9,161.0,3
