img_id,scan_name,classname,gt_bbox_index,pred_bbox_index,spatial_zone
0,scene0011_00,cabinet,0,,3
0,scene0011_00,cabinet,16,,3
0,scene0011_00,cabinet,22,,4
0,scene0011_00,table,1,860.0,3
0,scene0011_00,table,14,,3
0,scene0011_00,chair,2,,4
0,scene0011_00,chair,3,249.0,3
0,scene0011_00,chair,4,243.0,3
0,scene0011_00,chair,5,235.0,3
0,scene0011_00,chair,6,228.0,3
0,scene0011_00,chair,7,221.0,3
0,scene0011_00,chair,8,,3
0,scene0011_00,chair,9,259.0,3
0,scene0011_00,chair,10,254.0,3
0,scene0011_00,chair,11,218.0,3
0,scene0011_00,chair,12,241.0,3
0,scene0011_00,otherfurniture,13,501.0,3
0,scene0011_00,otherfurniture,25,,4
0,scene0011_00,refrigerator,15,598.0,3
0,scene0011_00,refrigerator,21,,4
0,scene0011_00,window,17,,4
0,scene0011_00,window,18,948.0,4
0,scene0011_00,counter,19,323.0,3
0,scene0011_00,sink,20,,3
0,scene0011_00,door,23,,4
0,scene0011_00,door,24,,4
1,scene0011_01,refrigerator,0,,3
1,scene0011_01,refrigerator,20,,4
1,scene0011_01,chair,1,190.0,2
1,scene0011_01,chair,2,179.0,2
1,scene0011_01,chair,3,176.0,3
1,scene0011_01,chair,4,,2
1,scene0011_01,chair,5,,3
1,scene0011_01,chair,6,,3
1,scene0011_01,chair,7,191.0,3
1,scene0011_01,chair,8,174.0,2
1,scene0011_01,chair,9,202.0,2
1,scene0011_01,chair,10,,2
1,scene0011_01,counter,11,239.0,2
1,scene0011_01,window,12,,2
1,scene0011_01,table,13,,3
1,scene0011_01,otherfurniture,14,427.0,4
1,scene0011_01,otherfurniture,16,,3
1,scene0011_01,otherfurniture,17,,3
1,scene0011_01,cabinet,15,,3
1,scene0011_01,cabinet,18,,3
1,scene0011_01,cabinet,21,,4
1,scene0011_01,sink,19,,2
1,scene0011_01,door,22,,4
2,scene0015_00,chair,0,,2
2,scene0015_00,chair,1,,3
2,scene0015_00,chair,4,210.0,3
2,scene0015_00,chair,5,,3
2,scene0015_00,chair,6,229.0,2
2,scene0015_00,chair,7,,3
2,scene0015_00,chair,8,,3
2,scene0015_00,chair,9,,3
2,scene0015_00,chair,10,,3
2,scene0015_00,chair,11,223.0,3
2,scene0015_00,chair,12,,3
2,scene0015_00,chair,13,,2
2,scene0015_00,chair,14,242.0,3
2,scene0015_00,chair,15,,3
2,scene0015_00,chair,16,254.0,2
2,scene0015_00,chair,17,226.0,4
2,scene0015_00,chair,18,236.0,3
2,scene0015_00,chair,19,,4
2,scene0015_00,chair,20,,2
2,scene0015_00,chair,28,,3
2,scene0015_00,chair,29,,2
2,scene0015_00,chair,30,,3
2,scene0015_00,window,2,,4
2,scene0015_00,window,3,,4
2,scene0015_00,table,21,,3
2,scene0015_00,table,22,791.0,3
2,scene0015_00,table,23,811.0,3
2,scene0015_00,table,24,,2
2,scene0015_00,table,25,795.0,4
2,scene0015_00,table,26,,4
2,scene0015_00,table,27,,3
3,scene0019_00,chair,0,,4
3,scene0019_00,chair,1,,3
3,scene0019_00,chair,5,,4
3,scene0019_00,chair,6,,4
3,scene0019_00,chair,7,158.0,4
3,scene0019_00,chair,8,,3
3,scene0019_00,chair,9,158.0,4
3,scene0019_00,chair,11,,4
3,scene0019_00,chair,12,,4
3,scene0019_00,chair,13,,4
3,scene0019_00,sofa,2,459.0,4
3,scene0019_00,otherfurniture,3,,3
3,scene0019_00,door,4,,2
3,scene0019_00,door,10,,2
4,scene0019_01,chair,0,148.0,4
4,scene0019_01,chair,1,,4
4,scene0019_01,chair,2,,4
4,scene0019_01,chair,3,,3
4,scene0019_01,chair,4,,3
4,scene0019_01,chair,5,,4
4,scene0019_01,chair,6,,4
4,scene0019_01,chair,7,158.0,4
4,scene0019_01,chair,12,,4
4,scene0019_01,chair,13,164.0,4
4,scene0019_01,sofa,8,542.0,4
4,scene0019_01,door,9,313.0,2
4,scene0019_01,door,10,301.0,2
4,scene0019_01,otherfurniture,11,,3
5,scene0025_00,sofa,0,,3
5,scene0025_00,sofa,1,663.0,3
5,scene0025_00,door,2,,4
5,scene0025_00,desk,3,358.0,3
5,scene0025_00,desk,4,365.0,3
5,scene0025_00,chair,5,,3
5,scene0025_00,chair,6,191.0,3
5,scene0025_00,cabinet,7,154.0,4
5,scene0025_00,cabinet,8,,4
5,scene0025_00,cabinet,9,174.0,3
5,scene0025_00,cabinet,15,151.0,4
5,scene0025_00,otherfurniture,10,,4
5,scene0025_00,otherfurniture,11,,4
5,scene0025_00,otherfurniture,12,,4
5,scene0025_00,window,13,,4
5,scene0025_00,window,14,,4
6,scene0025_01,sofa,0,,4
