img_id,scan_name,classname,gt_bbox_index,pred_bbox_index,spatial_zone
0,scene0011_00,cabinet,0,,3
0,scene0011_00,cabinet,16,,3
0,scene0011_00,cabinet,22,,4
0,scene0011_00,table,1,831.0,3
0,scene0011_00,table,14,811.0,3
0,scene0011_00,chair,2,225.0,4
0,scene0011_00,chair,3,217.0,3
0,scene0011_00,chair,4,223.0,3
0,scene0011_00,chair,5,233.0,3
0,scene0011_00,chair,6,231.0,3
0,scene0011_00,chair,7,216.0,3
0,scene0011_00,chair,8,,3
0,scene0011_00,chair,9,261.0,3
0,scene0011_00,chair,10,241.0,3
0,scene0011_00,chair,11,215.0,3
0,scene0011_00,chair,12,229.0,3
0,scene0011_00,otherfurniture,13,,3
0,scene0011_00,otherfurniture,25,,4
0,scene0011_00,refrigerator,15,618.0,3
0,scene0011_00,refrigerator,21,592.0,4
0,scene0011_00,window,17,952.0,4
0,scene0011_00,window,18,951.0,4
0,scene0011_00,counter,19,302.0,3
0,scene0011_00,sink,20,,3
0,scene0011_00,door,23,425.0,4
0,scene0011_00,door,24,425.0,4
1,scene0011_01,refrigerator,0,518.0,3
1,scene0011_01,refrigerator,20,525.0,4
1,scene0011_01,chair,1,223.0,2
1,scene0011_01,chair,2,225.0,2
1,scene0011_01,chair,3,228.0,3
1,scene0011_01,chair,4,193.0,2
1,scene0011_01,chair,5,208.0,3
1,scene0011_01,chair,6,,3
1,scene0011_01,chair,7,211.0,3
1,scene0011_01,chair,8,200.0,2
1,scene0011_01,chair,9,212.0,2
1,scene0011_01,chair,10,222.0,2
1,scene0011_01,counter,11,250.0,2
1,scene0011_01,window,12,824.0,2
1,scene0011_01,table,13,741.0,3
1,scene0011_01,otherfurniture,14,426.0,4
1,scene0011_01,otherfurniture,16,,3
1,scene0011_01,otherfurniture,17,436.0,3
1,scene0011_01,cabinet,15,150.0,3
1,scene0011_01,cabinet,18,,3
1,scene0011_01,cabinet,21,149.0,4
1,scene0011_01,sink,19,,2
1,scene0011_01,door,22,422.0,4
2,scene0015_00,chair,0,313.0,2
2,scene0015_00,chair,1,302.0,3
2,scene0015_00,chair,4,301.0,3
2,scene0015_00,chair,5,,3
2,scene0015_00,chair,6,293.0,2
2,scene0015_00,chair,7,324.0,3
2,scene0015_00,chair,8,316.0,3
2,scene0015_00,chair,9,260.0,3
2,scene0015_00,chair,10,,3
2,scene0015_00,chair,11,294.0,3
2,scene0015_00,chair,12,315.0,3
2,scene0015_00,chair,13,309.0,2
2,scene0015_00,chair,14,304.0,3
2,scene0015_00,chair,15,275.0,3
2,scene0015_00,chair,16,282.0,2
2,scene0015_00,chair,17,299.0,4
2,scene0015_00,chair,18,279.0,3
2,scene0015_00,chair,19,,4
2,scene0015_00,chair,20,319.0,2
2,scene0015_00,chair,28,321.0,3
2,scene0015_00,chair,29,,2
2,scene0015_00,chair,30,269.0,3
2,scene0015_00,window,2,1112.0,4
2,scene0015_00,window,3,1126.0,4
2,scene0015_00,table,21,1011.0,3
2,scene0015_00,table,22,980.0,3
2,scene0015_00,table,23,1007.0,3
2,scene0015_00,table,24,988.0,2
2,scene0015_00,table,25,1013.0,4
2,scene0015_00,table,26,1004.0,4
2,scene0015_00,table,27,1023.0,3
3,scene0019_00,chair,0,190.0,4
3,scene0019_00,chair,1,,3
3,scene0019_00,chair,5,,4
3,scene0019_00,chair,6,179.0,4
3,scene0019_00,chair,7,181.0,4
3,scene0019_00,chair,8,,3
3,scene0019_00,chair,9,181.0,4
3,scene0019_00,chair,11,,4
3,scene0019_00,chair,12,205.0,4
3,scene0019_00,chair,13,192.0,4
3,scene0019_00,sofa,2,614.0,4
3,scene0019_00,otherfurniture,3,397.0,3
3,scene0019_00,door,4,371.0,2
3,scene0019_00,door,10,372.0,2
4,scene0019_01,chair,0,160.0,4
4,scene0019_01,chair,1,187.0,4
4,scene0019_01,chair,2,189.0,4
4,scene0019_01,chair,3,172.0,3
4,scene0019_01,chair,4,,3
4,scene0019_01,chair,5,,4
4,scene0019_01,chair,6,,4
4,scene0019_01,chair,7,194.0,4
4,scene0019_01,chair,12,182.0,4
4,scene0019_01,chair,13,175.0,4
4,scene0019_01,sofa,8,598.0,4
4,scene0019_01,door,9,348.0,2
4,scene0019_01,door,10,331.0,2
4,scene0019_01,otherfurniture,11,369.0,3
5,scene0025_00,sofa,0,770.0,3
5,scene0025_00,sofa,1,746.0,3
5,scene0025_00,door,2,438.0,4
5,scene0025_00,desk,3,413.0,3
5,scene0025_00,desk,4,380.0,3
5,scene0025_00,chair,5,238.0,3
5,scene0025_00,chair,6,244.0,3
5,scene0025_00,cabinet,7,201.0,4
5,scene0025_00,cabinet,8,,4
