img_id,scan_name,classname,gt_bbox_index,pred_bbox_index
0,scene0011_00,cabinet,0,
0,scene0011_00,cabinet,16,169.0
0,scene0011_00,cabinet,22,192.0
0,scene0011_00,table,1,853.0
0,scene0011_00,table,14,868.0
0,scene0011_00,chair,2,231.0
0,scene0011_00,chair,3,227.0
0,scene0011_00,chair,4,262.0
0,scene0011_00,chair,5,256.0
0,scene0011_00,chair,6,253.0
0,scene0011_00,chair,7,225.0
0,scene0011_00,chair,8,249.0
0,scene0011_00,chair,9,235.0
0,scene0011_00,chair,10,244.0
0,scene0011_00,chair,11,223.0
0,scene0011_00,chair,12,269.0
0,scene0011_00,otherfurniture,13,546.0
0,scene0011_00,otherfurniture,25,
0,scene0011_00,refrigerator,15,658.0
0,scene0011_00,refrigerator,21,632.0
0,scene0011_00,window,17,951.0
0,scene0011_00,window,18,981.0
0,scene0011_00,counter,19,316.0
0,scene0011_00,sink,20,
0,scene0011_00,door,23,
0,scene0011_00,door,24,477.0
1,scene0011_01,refrigerator,0,
1,scene0011_01,refrigerator,20,590.0
1,scene0011_01,chair,1,227.0
1,scene0011_01,chair,2,241.0
1,scene0011_01,chair,3,252.0
1,scene0011_01,chair,4,216.0
1,scene0011_01,chair,5,
1,scene0011_01,chair,6,219.0
1,scene0011_01,chair,7,253.0
1,scene0011_01,chair,8,233.0
1,scene0011_01,chair,9,235.0
1,scene0011_01,chair,10,246.0
1,scene0011_01,counter,11,308.0
1,scene0011_01,window,12,905.0
1,scene0011_01,table,13,808.0
1,scene0011_01,otherfurniture,14,507.0
1,scene0011_01,otherfurniture,16,497.0
1,scene0011_01,otherfurniture,17,478.0
1,scene0011_01,cabinet,15,173.0
1,scene0011_01,cabinet,18,
1,scene0011_01,cabinet,21,
1,scene0011_01,sink,19,
1,scene0011_01,door,22,463.0
2,scene0015_00,chair,0,294.0
2,scene0015_00,chair,1,327.0
2,scene0015_00,chair,4,331.0
2,scene0015_00,chair,5,
2,scene0015_00,chair,6,317.0
2,scene0015_00,chair,7,337.0
2,scene0015_00,chair,8,305.0
2,scene0015_00,chair,9,272.0
2,scene0015_00,chair,10,306.0
2,scene0015_00,chair,11,311.0
2,scene0015_00,chair,12,307.0
2,scene0015_00,chair,13,329.0
2,scene0015_00,chair,14,322.0
2,scene0015_00,chair,15,332.0
2,scene0015_00,chair,16,291.0
2,scene0015_00,chair,17,285.0
2,scene0015_00,chair,18,309.0
2,scene0015_00,chair,19,292.0
2,scene0015_00,chair,20,325.0
2,scene0015_00,chair,28,334.0
2,scene0015_00,chair,29,328.0
2,scene0015_00,chair,30,299.0
2,scene0015_00,window,2,
2,scene0015_00,window,3,
2,scene0015_00,table,21,1056.0
2,scene0015_00,table,22,1061.0
2,scene0015_00,table,23,1031.0
2,scene0015_00,table,24,1048.0
2,scene0015_00,table,25,1062.0
2,scene0015_00,table,26,1058.0
2,scene0015_00,table,27,
3,scene0019_00,chair,0,166.0
3,scene0019_00,chair,1,
3,scene0019_00,chair,5,183.0
3,scene0019_00,chair,6,183.0
3,scene0019_00,chair,7,
3,scene0019_00,chair,8,
3,scene0019_00,chair,9,
3,scene0019_00,chair,11,158.0
3,scene0019_00,chair,12,
3,scene0019_00,chair,13,171.0
3,scene0019_00,sofa,2,542.0
3,scene0019_00,otherfurniture,3,346.0
3,scene0019_00,door,4,330.0
3,scene0019_00,door,10,324.0
4,scene0019_01,chair,0,184.0
4,scene0019_01,chair,1,197.0
4,scene0019_01,chair,2,
4,scene0019_01,chair,3,197.0
4,scene0019_01,chair,4,
4,scene0019_01,chair,5,
4,scene0019_01,chair,6,
4,scene0019_01,chair,7,200.0
4,scene0019_01,chair,12,
4,scene0019_01,chair,13,203.0
4,scene0019_01,sofa,8,684.0
4,scene0019_01,door,9,412.0
4,scene0019_01,door,10,376.0
4,scene0019_01,otherfurniture,11,429.0
5,scene0025_00,sofa,0,610.0
5,scene0025_00,sofa,1,622.0
5,scene0025_00,door,2,379.0
5,scene0025_00,desk,3,340.0
5,scene0025_00,desk,4,342.0
5,scene0025_00,chair,5,190.0
5,scene0025_00,chair,6,204.0
5,scene0025_00,cabinet,7,158.0
5,scene0025_00,cabinet,8,
5,scene0025_00,cabinet,9,
5,scene0025_00,cabinet,15,130.0
5,scene0025_00,otherfurniture,10,415.0
5,scene0025_00,otherfurniture,11,396.0
5,scene0025_00,otherfurniture,12,
5,scene0025_00,window,13,
5,scene0025_00,window,14,
6,scene0025_01,sofa,0,641.0
6,scene0025_01,sofa,1,672.0
6,scene0025_01,cabinet,2,168.0
6,scene0025_01,cabinet,4,140.0
6,scene0025_01,cabinet,13,141.0
6,scene0025_01,cabinet,14,176.0
6,scene0025_01,table,3,685.0
6,scene0025_01,chair,5,211.0
6,scene0025_01,chair,6,200.0
6,scene0025_01,door,7,385.0
6,scene0025_01,door,11,385.0
6,scene0025_01,desk,8,347.0
6,scene0025_01,window,9,
6,scene0025_01,window,10,787.0
6,scene0025_01,window,12,768.0
7,scene0025_02,sofa,0,825.0
7,scene0025_02,sofa,7,835.0
7,scene0025_02,door,1,491.0
7,scene0025_02,desk,2,463.0
7,scene0025_02,desk,3,463.0
7,scene0025_02,cabinet,4,184.0
7,scene0025_02,cabinet,6,190.0
7,scene0025_02,cabinet,8,205.0
7,scene0025_02,cabinet,9,
7,scene0025_02,chair,5,239.0
7,scene0025_02,chair,12,284.0
7,scene0025_02,window,10,
7,scene0025_02,window,11,1023.0
8,scene0030_00,chair,0,266.0
8,scene0030_00,chair,1,255.0
8,scene0030_00,chair,2,270.0
8,scene0030_00,chair,3,314.0
8,scene0030_00,chair,4,272.0
8,scene0030_00,chair,5,304.0
8,scene0030_00,chair,6,310.0
8,scene0030_00,chair,7,297.0
8,scene0030_00,chair,8,
8,scene0030_00,chair,9,281.0
8,scene0030_00,chair,10,258.0
8,scene0030_00,chair,11,295.0
8,scene0030_00,chair,12,280.0
8,scene0030_00,chair,13,285.0
8,scene0030_00,chair,14,302.0
8,scene0030_00,chair,15,259.0
8,scene0030_00,chair,27,291.0
8,scene0030_00,bookshelf,16,168.0
8,scene0030_00,bookshelf,17,185.0
8,scene0030_00,bookshelf,18,
8,scene0030_00,bookshelf,19,151.0
8,scene0030_00,bookshelf,31,
8,scene0030_00,window,20,
8,scene0030_00,window,21,
8,scene0030_00,window,30,
8,scene0030_00,table,22,981.0
8,scene0030_00,table,23,
8,scene0030_00,table,24,949.0
