img_id,scan_name,classname,gt_bbox_index,pred_bbox_index,spatial_zone
0,scene0011_00,cabinet,0,,3
0,scene0011_00,cabinet,16,169.0,3
0,scene0011_00,cabinet,22,192.0,4
0,scene0011_00,table,1,853.0,3
0,scene0011_00,table,14,868.0,3
0,scene0011_00,chair,2,231.0,4
0,scene0011_00,chair,3,227.0,3
0,scene0011_00,chair,4,262.0,3
0,scene0011_00,chair,5,256.0,3
0,scene0011_00,chair,6,253.0,3
0,scene0011_00,chair,7,225.0,3
0,scene0011_00,chair,8,249.0,3
0,scene0011_00,chair,9,235.0,3
0,scene0011_00,chair,10,244.0,3
0,scene0011_00,chair,11,223.0,3
0,scene0011_00,chair,12,269.0,3
0,scene0011_00,otherfurniture,13,546.0,3
0,scene0011_00,otherfurniture,25,,4
0,scene0011_00,refrigerator,15,658.0,3
0,scene0011_00,refrigerator,21,632.0,4
0,scene0011_00,window,17,951.0,4
0,scene0011_00,window,18,981.0,4
0,scene0011_00,counter,19,316.0,3
0,scene0011_00,sink,20,,3
0,scene0011_00,door,23,,4
0,scene0011_00,door,24,477.0,4
1,scene0011_01,refrigerator,0,,3
1,scene0011_01,refrigerator,20,590.0,4
1,scene0011_01,chair,1,227.0,2
1,scene0011_01,chair,2,241.0,2
1,scene0011_01,chair,3,252.0,3
1,scene0011_01,chair,4,216.0,2
1,scene0011_01,chair,5,,3
1,scene0011_01,chair,6,219.0,3
1,scene0011_01,chair,7,253.0,3
1,scene0011_01,chair,8,233.0,2
1,scene0011_01,chair,9,235.0,2
1,scene0011_01,chair,10,246.0,2
1,scene0011_01,counter,11,308.0,2
1,scene0011_01,window,12,905.0,2
1,scene0011_01,table,13,808.0,3
1,scene0011_01,otherfurniture,14,507.0,4
1,scene0011_01,otherfurniture,16,497.0,3
1,scene0011_01,otherfurniture,17,478.0,3
1,scene0011_01,cabinet,15,173.0,3
1,scene0011_01,cabinet,18,,3
1,scene0011_01,cabinet,21,,4
1,scene0011_01,sink,19,,2
1,scene0011_01,door,22,463.0,4
2,scene0015_00,chair,0,294.0,2
2,scene0015_00,chair,1,327.0,3
2,scene0015_00,chair,4,331.0,3
2,scene0015_00,chair,5,,3
2,scene0015_00,chair,6,317.0,2
2,scene0015_00,chair,7,337.0,3
2,scene0015_00,chair,8,305.0,3
2,scene0015_00,chair,9,272.0,3
2,scene0015_00,chair,10,306.0,3
2,scene0015_00,chair,11,311.0,3
2,scene0015_00,chair,12,307.0,3
2,scene0015_00,chair,13,329.0,2
2,scene0015_00,chair,14,322.0,3
2,scene0015_00,chair,15,332.0,3
2,scene0015_00,chair,16,291.0,2
2,scene0015_00,chair,17,285.0,4
2,scene0015_00,chair,18,309.0,3
2,scene0015_00,chair,19,292.0,4
2,scene0015_00,chair,20,325.0,2
2,scene0015_00,chair,28,334.0,3
2,scene0015_00,chair,29,328.0,2
2,scene0015_00,chair,30,299.0,3
2,scene0015_00,window,2,,4
2,scene0015_00,window,3,,4
2,scene0015_00,table,21,1056.0,3
2,scene0015_00,table,22,1061.0,3
2,scene0015_00,table,23,1031.0,3
2,scene0015_00,table,24,1048.0,2
2,scene0015_00,table,25,1062.0,4
2,scene0015_00,table,26,1058.0,4
2,scene0015_00,table,27,,3
3,scene0019_00,chair,0,166.0,4
3,scene0019_00,chair,1,,3
3,scene0019_00,chair,5,183.0,4
3,scene0019_00,chair,6,183.0,4
3,scene0019_00,chair,7,,4
3,scene0019_00,chair,8,,3
3,scene0019_00,chair,9,,4
3,scene0019_00,chair,11,158.0,4
3,scene0019_00,chair,12,,4
3,scene0019_00,chair,13,171.0,4
3,scene0019_00,sofa,2,542.0,4
3,scene0019_00,otherfurniture,3,346.0,3
3,scene0019_00,door,4,330.0,2
3,scene0019_00,door,10,324.0,2
4,scene0019_01,chair,0,184.0,4
4,scene0019_01,chair,1,197.0,4
4,scene0019_01,chair,2,,4
4,scene0019_01,chair,3,197.0,3
4,scene0019_01,chair,4,,3
4,scene0019_01,chair,5,,4
4,scene0019_01,chair,6,,4
4,scene0019_01,chair,7,200.0,4
4,scene0019_01,chair,12,,4
4,scene0019_01,chair,13,203.0,4
4,scene0019_01,sofa,8,684.0,4
4,scene0019_01,door,9,412.0,2
4,scene0019_01,door,10,376.0,2
4,scene0019_01,otherfurniture,11,429.0,3
5,scene0025_00,sofa,0,610.0,3
5,scene0025_00,sofa,1,622.0,3
5,scene0025_00,door,2,379.0,4
5,scene0025_00,desk,3,340.0,3
5,scene0025_00,desk,4,342.0,3
5,scene0025_00,chair,5,190.0,3
5,scene0025_00,chair,6,204.0,3
5,scene0025_00,cabinet,7,158.0,4
5,scene0025_00,cabinet,8,,4
5,scene0025_00,cabinet,9,,3
5,scene0025_00,cabinet,15,130.0,4
5,scene0025_00,otherfurniture,10,415.0,4
5,scene0025_00,otherfurniture,11,396.0,4
5,scene0025_00,otherfurniture,12,,4
5,scene0025_00,window,13,,4
5,scene0025_00,window,14,,4
6,scene0025_01,sofa,0,641.0,4
6,scene0025_01,sofa,1,672.0,4
6,scene0025_01,cabinet,2,168.0,4
6,scene0025_01,cabinet,4,140.0,4
