img_id,scan_name,classname,gt_bbox_index,pred_bbox_index,spatial_zone
0,scene0011_00,cabinet,0,199.0,3
0,scene0011_00,cabinet,16,183.0,3
0,scene0011_00,cabinet,22,,4
0,scene0011_00,table,1,940.0,3
0,scene0011_00,table,14,898.0,3
0,scene0011_00,chair,2,252.0,4
0,scene0011_00,chair,3,243.0,3
0,scene0011_00,chair,4,285.0,3
0,scene0011_00,chair,5,270.0,3
0,scene0011_00,chair,6,276.0,3
0,scene0011_00,chair,7,273.0,3
0,scene0011_00,chair,8,281.0,3
0,scene0011_00,chair,9,289.0,3
0,scene0011_00,chair,10,287.0,3
0,scene0011_00,chair,11,239.0,3
0,scene0011_00,chair,12,265.0,3
0,scene0011_00,otherfurniture,13,,3
0,scene0011_00,otherfurniture,25,,4
0,scene0011_00,refrigerator,15,696.0,3
0,scene0011_00,refrigerator,21,,4
0,scene0011_00,window,17,1041.0,4
0,scene0011_00,window,18,1008.0,4
0,scene0011_00,counter,19,337.0,3
0,scene0011_00,sink,20,,3
0,scene0011_00,door,23,490.0,4
0,scene0011_00,door,24,490.0,4
1,scene0011_01,refrigerator,0,,3
1,scene0011_01,refrigerator,20,676.0,4
1,scene0011_01,chair,1,271.0,2
1,scene0011_01,chair,2,238.0,2
1,scene0011_01,chair,3,252.0,3
1,scene0011_01,chair,4,274.0,2
1,scene0011_01,chair,5,269.0,3
1,scene0011_01,chair,6,232.0,3
1,scene0011_01,chair,7,243.0,3
1,scene0011_01,chair,8,246.0,2
1,scene0011_01,chair,9,273.0,2
1,scene0011_01,chair,10,235.0,2
1,scene0011_01,counter,11,337.0,2
1,scene0011_01,window,12,1040.0,2
1,scene0011_01,table,13,906.0,3
1,scene0011_01,otherfurniture,14,568.0,4
1,scene0011_01,otherfurniture,16,,3
1,scene0011_01,otherfurniture,17,,3
1,scene0011_01,cabinet,15,184.0,3
1,scene0011_01,cabinet,18,,3
1,scene0011_01,cabinet,21,,4
1,scene0011_01,sink,19,,2
1,scene0011_01,door,22,482.0,4
2,scene0015_00,chair,0,336.0,2
2,scene0015_00,chair,1,309.0,3
