img_id,scan_name,classname,gt_bbox_index,pred_bbox_index
0,scene0011_00,cabinet,0,
0,scene0011_00,cabinet,12,
0,scene0011_00,cabinet,14,
0,scene0011_00,chair,1,
0,scene0011_00,chair,2,
0,scene0011_00,chair,3,
0,scene0011_00,chair,4,
0,scene0011_00,chair,5,
0,scene0011_00,chair,6,
0,scene0011_00,chair,7,
0,scene0011_00,chair,8,
0,scene0011_00,chair,9,
0,scene0011_00,chair,10,
0,scene0011_00,chair,11,
0,scene0011_00,counter,13,
0,scene0011_00,door,15,
0,scene0011_00,door,16,
1,scene0011_01,chair,0,
1,scene0011_01,chair,1,
1,scene0011_01,chair,2,
1,scene0011_01,chair,3,
1,scene0011_01,chair,4,
1,scene0011_01,chair,5,
1,scene0011_01,chair,6,
1,scene0011_01,chair,7,
1,scene0011_01,chair,8,
1,scene0011_01,chair,9,
1,scene0011_01,counter,10,
1,scene0011_01,cabinet,11,
1,scene0011_01,cabinet,12,
1,scene0011_01,cabinet,13,
1,scene0011_01,door,14,
2,scene0015_00,chair,0,
2,scene0015_00,chair,1,
2,scene0015_00,chair,2,
2,scene0015_00,chair,3,
2,scene0015_00,chair,4,
2,scene0015_00,chair,5,
2,scene0015_00,chair,6,
2,scene0015_00,chair,7,
2,scene0015_00,chair,8,
2,scene0015_00,chair,9,
2,scene0015_00,chair,10,
2,scene0015_00,chair,11,4.0
2,scene0015_00,chair,12,
2,scene0015_00,chair,13,
2,scene0015_00,chair,14,
2,scene0015_00,chair,15,
2,scene0015_00,chair,16,
2,scene0015_00,chair,17,
2,scene0015_00,chair,18,
2,scene0015_00,chair,19,
2,scene0015_00,chair,20,
2,scene0015_00,chair,21,
3,scene0019_00,chair,0,
3,scene0019_00,chair,1,
3,scene0019_00,chair,3,
3,scene0019_00,chair,4,
3,scene0019_00,chair,5,
3,scene0019_00,chair,6,
3,scene0019_00,chair,7,
3,scene0019_00,chair,9,
3,scene0019_00,chair,10,
3,scene0019_00,chair,11,
3,scene0019_00,door,2,
3,scene0019_00,door,8,
4,scene0019_01,chair,0,
4,scene0019_01,chair,1,
4,scene0019_01,chair,2,
4,scene0019_01,chair,3,
4,scene0019_01,chair,4,
4,scene0019_01,chair,5,
4,scene0019_01,chair,6,
4,scene0019_01,chair,7,
4,scene0019_01,chair,10,
4,scene0019_01,chair,11,
4,scene0019_01,door,8,
4,scene0019_01,door,9,
5,scene0025_00,door,0,
5,scene0025_00,desk,1,
5,scene0025_00,desk,2,
5,scene0025_00,chair,3,
5,scene0025_00,chair,4,
5,scene0025_00,cabinet,5,
5,scene0025_00,cabinet,6,
5,scene0025_00,cabinet,7,
5,scene0025_00,cabinet,8,
6,scene0025_01,cabinet,0,
6,scene0025_01,cabinet,1,
6,scene0025_01,cabinet,7,
6,scene0025_01,cabinet,8,
6,scene0025_01,chair,2,
6,scene0025_01,chair,3,4.0
6,scene0025_01,door,4,
6,scene0025_01,door,6,
6,scene0025_01,desk,5,
7,scene0025_02,door,0,
7,scene0025_02,desk,1,
7,scene0025_02,desk,2,
7,scene0025_02,cabinet,3,
7,scene0025_02,cabinet,5,
7,scene0025_02,cabinet,6,
7,scene0025_02,cabinet,7,
7,scene0025_02,chair,4,4.0
7,scene0025_02,chair,8,
8,scene0030_00,chair,0,
8,scene0030_00,chair,1,
8,scene0030_00,chair,2,
8,scene0030_00,chair,3,
8,scene0030_00,chair,4,
8,scene0030_00,chair,5,
8,scene0030_00,chair,6,
8,scene0030_00,chair,7,
8,scene0030_00,chair,8,
8,scene0030_00,chair,9,
8,scene0030_00,chair,10,
8,scene0030_00,chair,11,
8,scene0030_00,chair,12,
8,scene0030_00,chair,13,
8,scene0030_00,chair,14,
8,scene0030_00,chair,15,
8,scene0030_00,chair,20,
8,scene0030_00,bookshelf,16,
8,scene0030_00,bookshelf,17,
8,scene0030_00,bookshelf,18,
8,scene0030_00,bookshelf,19,
8,scene0030_00,bookshelf,22,
8,scene0030_00,door,21,
8,scene0030_00,door,23,
9,scene0030_01,bookshelf,0,
9,scene0030_01,bookshelf,1,
9,scene0030_01,bookshelf,2,
9,scene0030_01,bookshelf,13,
9,scene0030_01,bookshelf,14,
9,scene0030_01,chair,3,4.0
9,scene0030_01,chair,4,
9,scene0030_01,chair,5,
9,scene0030_01,chair,6,
9,scene0030_01,chair,7,
9,scene0030_01,chair,9,
9,scene0030_01,chair,10,
9,scene0030_01,chair,11,
9,scene0030_01,chair,15,
9,scene0030_01,chair,16,
9,scene0030_01,chair,17,
9,scene0030_01,chair,18,
9,scene0030_01,chair,19,
9,scene0030_01,chair,20,
9,scene0030_01,chair,21,
9,scene0030_01,chair,22,
9,scene0030_01,door,8,
9,scene0030_01,door,12,
10,scene0030_02,bookshelf,0,
10,scene0030_02,bookshelf,3,
10,scene0030_02,bookshelf,4,
10,scene0030_02,bookshelf,5,
10,scene0030_02,bookshelf,6,
10,scene0030_02,bookshelf,24,
10,scene0030_02,door,1,
10,scene0030_02,door,2,
10,scene0030_02,chair,7,
10,scene0030_02,chair,8,
10,scene0030_02,chair,9,
10,scene0030_02,chair,10,
10,scene0030_02,chair,11,
10,scene0030_02,chair,12,
10,scene0030_02,chair,13,
10,scene0030_02,chair,14,
10,scene0030_02,chair,15,
10,scene0030_02,chair,16,
10,scene0030_02,chair,17,
10,scene0030_02,chair,18,
10,scene0030_02,chair,19,
10,scene0030_02,chair,20,
10,scene0030_02,chair,21,
10,scene0030_02,chair,22,
10,scene0030_02,chair,23,
11,scene0046_00,chair,0,
11,scene0046_00,bathtub,1,
11,scene0046_00,bed,2,
11,scene0046_00,desk,3,
11,scene0046_00,door,4,
11,scene0046_00,door,5,
11,scene0046_00,door,6,
11,scene0046_00,curtain,7,
12,scene0046_01,curtain,0,
12,scene0046_01,bed,1,
12,scene0046_01,chair,2,
12,scene0046_01,bathtub,3,
12,scene0046_01,door,4,
12,scene0046_01,door,5,
12,scene0046_01,door,6,
13,scene0046_02,desk,0,
13,scene0046_02,curtain,1,
13,scene0046_02,curtain,2,
13,scene0046_02,cabinet,3,
13,scene0046_02,bed,4,
13,scene0046_02,bathtub,5,0.0
13,scene0046_02,chair,6,
13,scene0046_02,door,7,
13,scene0046_02,door,8,
13,scene0046_02,door,9,
14,scene0050_00,chair,0,
14,scene0050_00,chair,1,
14,scene0050_00,desk,2,
14,scene0050_00,door,3,
14,scene0050_00,door,4,
14,scene0050_00,door,5,
14,scene0050_00,door,6,
14,scene0050_00,door,7,
14,scene0050_00,door,8,
15,scene0050_01,door,0,
15,scene0050_01,door,2,
15,scene0050_01,door,3,
15,scene0050_01,door,6,
15,scene0050_01,door,7,
15,scene0050_01,door,8,
15,scene0050_01,chair,1,
15,scene0050_01,chair,5,
15,scene0050_01,desk,4,
16,scene0050_02,chair,0,
16,scene0050_02,chair,1,
16,scene0050_02,desk,2,
16,scene0050_02,door,3,
16,scene0050_02,door,4,
16,scene0050_02,door,5,
16,scene0050_02,door,6,
16,scene0050_02,door,7,
16,scene0050_02,door,8,
17,scene0063_00,chair,0,
17,scene0063_00,chair,1,
17,scene0063_00,chair,2,
17,scene0063_00,chair,3,
17,scene0063_00,cabinet,4,
17,scene0063_00,cabinet,5,
17,scene0063_00,cabinet,7,
17,scene0063_00,door,6,
17,scene0063_00,counter,8,
18,scene0064_00,bookshelf,0,
18,scene0064_00,bookshelf,4,
18,scene0064_00,chair,1,
18,scene0064_00,chair,2,
18,scene0064_00,door,3,
19,scene0064_01,bookshelf,0,
19,scene0064_01,bookshelf,1,
19,scene0064_01,chair,2,
19,scene0064_01,chair,3,
19,scene0064_01,chair,4,
19,scene0064_01,chair,5,
19,scene0064_01,door,6,
20,scene0077_00,cabinet,0,
20,scene0077_00,door,1,
20,scene0077_00,door,2,
20,scene0077_00,door,3,
20,scene0077_00,door,5,
20,scene0077_00,counter,4,
21,scene0077_01,door,0,
21,scene0077_01,door,2,
21,scene0077_01,door,3,
21,scene0077_01,counter,1,
21,scene0077_01,cabinet,4,
23,scene0081_01,chair,0,
23,scene0081_01,chair,1,
23,scene0081_01,chair,2,
23,scene0081_01,chair,3,
23,scene0081_01,chair,4,
23,scene0081_01,chair,5,
23,scene0081_01,chair,6,
23,scene0081_01,chair,7,
23,scene0081_01,chair,8,
23,scene0081_01,chair,9,
23,scene0081_01,chair,10,
23,scene0081_01,chair,11,
23,scene0081_01,chair,12,
23,scene0081_01,chair,13,
23,scene0081_01,chair,14,
23,scene0081_01,chair,15,
23,scene0081_01,chair,16,
23,scene0081_01,chair,17,
23,scene0081_01,chair,18,
23,scene0081_01,chair,19,
23,scene0081_01,chair,20,
23,scene0081_01,chair,21,
23,scene0081_01,chair,22,
23,scene0081_01,chair,23,
23,scene0081_01,chair,24,
23,scene0081_01,chair,25,
24,scene0081_02,chair,0,
24,scene0081_02,chair,1,
24,scene0081_02,chair,2,
24,scene0081_02,chair,3,
24,scene0081_02,chair,4,
24,scene0081_02,chair,5,
24,scene0081_02,chair,6,
24,scene0081_02,chair,7,
24,scene0081_02,chair,8,
24,scene0081_02,chair,9,
24,scene0081_02,chair,10,
24,scene0081_02,chair,11,
24,scene0081_02,chair,12,
24,scene0081_02,chair,13,
24,scene0081_02,chair,14,
24,scene0081_02,chair,15,
24,scene0081_02,chair,16,
24,scene0081_02,chair,17,
24,scene0081_02,chair,18,
24,scene0081_02,chair,19,
24,scene0081_02,chair,20,
24,scene0081_02,chair,21,
24,scene0081_02,chair,22,
24,scene0081_02,chair,23,
24,scene0081_02,chair,24,
24,scene0081_02,chair,25,
24,scene0081_02,chair,26,
25,scene0084_00,door,0,
25,scene0084_00,door,1,
25,scene0084_00,counter,2,
26,scene0084_01,counter,0,
26,scene0084_01,door,1,
26,scene0084_01,door,2,
27,scene0084_02,counter,0,
27,scene0084_02,door,1,
27,scene0084_02,door,2,
28,scene0086_00,door,0,
28,scene0086_00,door,1,
28,scene0086_00,door,2,
28,scene0086_00,door,3,
28,scene0086_00,door,4,
28,scene0086_00,door,5,
29,scene0086_01,door,0,
29,scene0086_01,door,1,
29,scene0086_01,door,2,
29,scene0086_01,door,3,
29,scene0086_01,door,4,
29,scene0086_01,door,5,
30,scene0086_02,door,0,
30,scene0086_02,door,1,
30,scene0086_02,door,2,
30,scene0086_02,door,3,
30,scene0086_02,door,4,
30,scene0086_02,door,5,
31,scene0088_00,chair,0,
31,scene0088_00,chair,1,
31,scene0088_00,chair,2,
31,scene0088_00,chair,3,
31,scene0088_00,chair,4,
31,scene0088_00,chair,5,
31,scene0088_00,chair,6,
31,scene0088_00,chair,7,
31,scene0088_00,chair,8,4.0
31,scene0088_00,chair,9,
31,scene0088_00,chair,10,
31,scene0088_00,chair,11,
31,scene0088_00,chair,12,
31,scene0088_00,chair,13,
31,scene0088_00,chair,14,
31,scene0088_00,chair,15,
31,scene0088_00,chair,16,
31,scene0088_00,chair,17,
31,scene0088_00,chair,18,
31,scene0088_00,chair,19,
31,scene0088_00,chair,20,
31,scene0088_00,chair,21,
31,scene0088_00,chair,22,
31,scene0088_00,chair,23,
31,scene0088_00,chair,24,
31,scene0088_00,door,25,
31,scene0088_00,door,26,
32,scene0088_01,chair,0,
32,scene0088_01,chair,1,
32,scene0088_01,chair,2,
32,scene0088_01,chair,3,
32,scene0088_01,chair,4,
32,scene0088_01,chair,5,
32,scene0088_01,chair,6,
32,scene0088_01,chair,7,
32,scene0088_01,chair,8,
32,scene0088_01,chair,9,
32,scene0088_01,chair,11,
32,scene0088_01,chair,12,
32,scene0088_01,chair,13,
32,scene0088_01,chair,14,
32,scene0088_01,chair,15,
32,scene0088_01,chair,16,
32,scene0088_01,chair,17,
32,scene0088_01,chair,18,
32,scene0088_01,door,10,
33,scene0088_02,cabinet,0,
33,scene0088_02,chair,1,
33,scene0088_02,chair,2,
33,scene0088_02,chair,3,
33,scene0088_02,chair,4,
33,scene0088_02,chair,5,
33,scene0088_02,chair,6,
33,scene0088_02,chair,7,
33,scene0088_02,chair,8,
33,scene0088_02,chair,9,
33,scene0088_02,chair,10,
33,scene0088_02,chair,11,
33,scene0088_02,chair,12,
33,scene0088_02,chair,13,
33,scene0088_02,chair,14,
33,scene0088_02,chair,15,
33,scene0088_02,chair,16,
33,scene0088_02,chair,17,
33,scene0088_02,chair,18,
33,scene0088_02,chair,19,
33,scene0088_02,chair,20,
33,scene0088_02,chair,21,
33,scene0088_02,chair,22,
33,scene0088_02,chair,23,
33,scene0088_02,chair,24,
33,scene0088_02,door,25,
34,scene0088_03,chair,0,
34,scene0088_03,chair,1,
34,scene0088_03,chair,2,
