,img_id,scan_name,classname,gt_bbox_index,pred_bbox_index
0,0,scene0011_00,cabinet,0,218.0
1,0,scene0011_00,cabinet,16,196.0
2,0,scene0011_00,cabinet,22,
3,0,scene0011_00,table,1,938.0
4,0,scene0011_00,table,14,911.0
5,0,scene0011_00,chair,2,244.0
6,0,scene0011_00,chair,3,242.0
7,0,scene0011_00,chair,4,245.0
8,0,scene0011_00,chair,5,256.0
9,0,scene0011_00,chair,6,249.0
10,0,scene0011_00,chair,7,282.0
11,0,scene0011_00,chair,8,293.0
12,0,scene0011_00,chair,9,266.0
13,0,scene0011_00,chair,10,
14,0,scene0011_00,chair,11,261.0
15,0,scene0011_00,chair,12,238.0
16,0,scene0011_00,otherfurniture,13,587.0
17,0,scene0011_00,otherfurniture,25,583.0
18,0,scene0011_00,refrigerator,15,680.0
19,0,scene0011_00,refrigerator,21,
20,0,scene0011_00,window,17,1032.0
21,0,scene0011_00,window,18,1015.0
22,0,scene0011_00,counter,19,317.0
23,0,scene0011_00,sink,20,806.0
24,0,scene0011_00,door,23,482.0
25,0,scene0011_00,door,24,482.0
26,1,scene0011_01,refrigerator,0,624.0
27,1,scene0011_01,refrigerator,20,622.0
28,1,scene0011_01,chair,1,243.0
29,1,scene0011_01,chair,2,221.0
30,1,scene0011_01,chair,3,268.0
31,1,scene0011_01,chair,4,226.0
32,1,scene0011_01,chair,5,248.0
33,1,scene0011_01,chair,6,235.0
34,1,scene0011_01,chair,7,229.0
35,1,scene0011_01,chair,8,217.0
36,1,scene0011_01,chair,9,251.0
37,1,scene0011_01,chair,10,265.0
38,1,scene0011_01,counter,11,314.0
39,1,scene0011_01,window,12,947.0
40,1,scene0011_01,table,13,833.0
41,1,scene0011_01,otherfurniture,14,495.0
42,1,scene0011_01,otherfurniture,16,492.0
43,1,scene0011_01,otherfurniture,17,537.0
44,1,scene0011_01,cabinet,15,209.0
45,1,scene0011_01,cabinet,18,
46,1,scene0011_01,cabinet,21,205.0
47,1,scene0011_01,sink,19,
48,1,scene0011_01,door,22,478.0
49,2,scene0015_00,chair,0,291.0
50,2,scene0015_00,chair,1,276.0
51,2,scene0015_00,chair,4,294.0
52,2,scene0015_00,chair,5,
53,2,scene0015_00,chair,6,305.0
54,2,scene0015_00,chair,7,277.0
55,2,scene0015_00,chair,8,282.0
56,2,scene0015_00,chair,9,268.0
57,2,scene0015_00,chair,10,314.0
58,2,scene0015_00,chair,11,297.0
59,2,scene0015_00,chair,12,281.0
60,2,scene0015_00,chair,13,311.0
61,2,scene0015_00,chair,14,325.0
62,2,scene0015_00,chair,15,287.0
63,2,scene0015_00,chair,16,296.0
64,2,scene0015_00,chair,17,284.0
65,2,scene0015_00,chair,18,309.0
66,2,scene0015_00,chair,19,285.0
67,2,scene0015_00,chair,20,312.0
68,2,scene0015_00,chair,28,332.0
69,2,scene0015_00,chair,29,316.0
70,2,scene0015_00,chair,30,318.0
71,2,scene0015_00,window,2,1160.0
72,2,scene0015_00,window,3,
73,2,scene0015_00,table,21,1045.0
74,2,scene0015_00,table,22,1041.0
75,2,scene0015_00,table,23,1017.0
76,2,scene0015_00,table,24,1052.0
77,2,scene0015_00,table,25,1056.0
78,2,scene0015_00,table,26,1063.0
79,2,scene0015_00,table,27,1044.0
80,3,scene0019_00,chair,0,229.0
81,3,scene0019_00,chair,1,
82,3,scene0019_00,chair,5,220.0
83,3,scene0019_00,chair,6,220.0
84,3,scene0019_00,chair,7,
85,3,scene0019_00,chair,8,
86,3,scene0019_00,chair,9,
87,3,scene0019_00,chair,11,210.0
88,3,scene0019_00,chair,12,
89,3,scene0019_00,chair,13,206.0
90,3,scene0019_00,sofa,2,670.0
91,3,scene0019_00,otherfurniture,3,430.0
92,3,scene0019_00,door,4,422.0
93,3,scene0019_00,door,10,397.0
94,4,scene0019_01,chair,0,188.0
95,4,scene0019_01,chair,1,176.0
96,4,scene0019_01,chair,2,175.0
97,4,scene0019_01,chair,3,176.0
98,4,scene0019_01,chair,4,
99,4,scene0019_01,chair,5,209.0
100,4,scene0019_01,chair,6,
101,4,scene0019_01,chair,7,202.0
102,4,scene0019_01,chair,12,
103,4,scene0019_01,chair,13,214.0
104,4,scene0019_01,sofa,8,
105,4,scene0019_01,door,9,361.0
106,4,scene0019_01,door,10,346.0
107,4,scene0019_01,otherfurniture,11,393.0
108,5,scene0025_00,sofa,0,681.0
109,5,scene0025_00,sofa,1,690.0
110,5,scene0025_00,door,2,400.0
111,5,scene0025_00,desk,3,349.0
112,5,scene0025_00,desk,4,369.0
113,5,scene0025_00,chair,5,215.0
114,5,scene0025_00,chair,6,229.0
115,5,scene0025_00,cabinet,7,147.0
116,5,scene0025_00,cabinet,8,
117,5,scene0025_00,cabinet,9,154.0
118,5,scene0025_00,cabinet,15,146.0
119,5,scene0025_00,otherfurniture,10,456.0
120,5,scene0025_00,otherfurniture,11,443.0
121,5,scene0025_00,otherfurniture,12,466.0
122,5,scene0025_00,window,13,
123,5,scene0025_00,window,14,817.0
124,6,scene0025_01,sofa,0,749.0
125,6,scene0025_01,sofa,1,793.0
126,6,scene0025_01,cabinet,2,172.0
127,6,scene0025_01,cabinet,4,163.0
128,6,scene0025_01,cabinet,13,168.0
129,6,scene0025_01,cabinet,14,179.0
130,6,scene0025_01,table,3,821.0
131,6,scene0025_01,chair,5,220.0
132,6,scene0025_01,chair,6,235.0
133,6,scene0025_01,door,7,456.0
134,6,scene0025_01,door,11,456.0
135,6,scene0025_01,desk,8,410.0
136,6,scene0025_01,window,9,902.0
137,6,scene0025_01,window,10,930.0
138,6,scene0025_01,window,12,904.0
139,7,scene0025_02,sofa,0,730.0
140,7,scene0025_02,sofa,7,738.0
141,7,scene0025_02,door,1,415.0
142,7,scene0025_02,desk,2,406.0
143,7,scene0025_02,desk,3,394.0
144,7,scene0025_02,cabinet,4,181.0
145,7,scene0025_02,cabinet,6,175.0
146,7,scene0025_02,cabinet,8,163.0
147,7,scene0025_02,cabinet,9,
148,7,scene0025_02,chair,5,209.0
149,7,scene0025_02,chair,12,242.0
150,7,scene0025_02,window,10,
151,7,scene0025_02,window,11,900.0
152,8,scene0030_00,chair,0,252.0
153,8,scene0030_00,chair,1,296.0
154,8,scene0030_00,chair,2,285.0
155,8,scene0030_00,chair,3,289.0
156,8,scene0030_00,chair,4,291.0
157,8,scene0030_00,chair,5,269.0
158,8,scene0030_00,chair,6,294.0
159,8,scene0030_00,chair,7,279.0
160,8,scene0030_00,chair,8,
161,8,scene0030_00,chair,9,263.0
162,8,scene0030_00,chair,10,250.0
163,8,scene0030_00,chair,11,253.0
164,8,scene0030_00,chair,12,261.0
165,8,scene0030_00,chair,13,273.0
166,8,scene0030_00,chair,14,272.0
167,8,scene0030_00,chair,15,
168,8,scene0030_00,chair,27,276.0
169,8,scene0030_00,bookshelf,16,155.0
170,8,scene0030_00,bookshelf,17,182.0
171,8,scene0030_00,bookshelf,18,
172,8,scene0030_00,bookshelf,19,138.0
