img_id,classname,gt_index,has_pred_bbox
0,bookshelf,0,True
0,bookshelf,1,True
0,chair,2,True
0,chair,3,True
0,chair,4,True
0,chair,5,True
0,door,6,True
1,chair,0,True
1,chair,1,True
1,chair,2,True
1,chair,3,True
1,chair,4,True
1,chair,5,True
1,chair,6,True
1,chair,7,True
1,chair,8,True
1,chair,9,True
1,chair,10,True
1,chair,11,True
1,chair,12,True
1,chair,13,True
1,chair,14,True
1,chair,15,True
1,chair,16,True
1,chair,17,False
1,chair,18,False
1,chair,19,True
1,chair,20,False
1,chair,21,True
1,chair,22,True
1,chair,23,False
1,chair,24,True
1,door,25,True
1,door,26,False
2,chair,0,True
2,chair,1,True
2,chair,2,True
2,chair,3,True
3,desk,0,False
3,chair,1,True
3,chair,2,True
3,chair,3,True
3,chair,4,True
3,chair,5,True
3,chair,6,True
3,chair,7,True
3,chair,8,True
3,chair,9,True
3,cabinet,10,True
4,curtain,0,True
4,curtain,1,True
4,chair,2,True
5,cabinet,0,True
5,chair,1,True
5,chair,2,True
5,chair,3,True
5,chair,4,True
5,chair,5,True
5,chair,6,True
6,counter,0,True
6,door,1,True
6,door,2,True
7,chair,0,True
7,chair,1,True
7,chair,2,True
7,chair,3,True
7,chair,4,True
7,chair,5,True
7,chair,6,False
7,chair,7,True
7,chair,8,True
7,chair,9,False
7,chair,10,True
7,curtain,11,True
7,curtain,12,True
7,cabinet,13,False
7,cabinet,14,True
7,cabinet,15,True
7,cabinet,16,False
7,door,17,True
7,bed,18,True
8,chair,0,False
8,chair,1,False
8,chair,2,True
8,chair,3,True
8,chair,4,False
8,chair,5,False
8,chair,6,False
8,chair,7,False
8,chair,8,False
8,chair,9,True
8,door,10,True
8,door,11,True
9,bookshelf,0,True
9,desk,1,True
9,chair,2,True
9,chair,3,True
9,cabinet,4,False
9,bed,5,True
9,curtain,6,True
10,bookshelf,0,True
10,bookshelf,1,False
10,chair,2,True
10,chair,3,True
10,chair,4,True
11,chair,0,False
11,chair,1,True
11,chair,2,True
11,chair,3,True
11,chair,4,True
11,chair,5,True
11,chair,6,True
11,chair,7,True
11,chair,8,True
11,chair,9,True
11,door,10,True
11,bed,11,True
11,cabinet,12,True
