img_id,scan_name,classname,gt_bbox_index,pred_bbox_index
0,scene0011_00,cabinet,0,169.0
0,scene0011_00,cabinet,16,180.0
0,scene0011_00,cabinet,22,
0,scene0011_00,table,1,861.0
0,scene0011_00,table,14,834.0
0,scene0011_00,chair,2,242.0
0,scene0011_00,chair,3,231.0
0,scene0011_00,chair,4,225.0
0,scene0011_00,chair,5,274.0
0,scene0011_00,chair,6,258.0
0,scene0011_00,chair,7,270.0
0,scene0011_00,chair,8,250.0
0,scene0011_00,chair,9,245.0
0,scene0011_00,chair,10,221.0
0,scene0011_00,chair,11,246.0
0,scene0011_00,chair,12,262.0
0,scene0011_00,otherfurniture,13,511.0
0,scene0011_00,otherfurniture,25,529.0
0,scene0011_00,refrigerator,15,
0,scene0011_00,refrigerator,21,
0,scene0011_00,window,17,958.0
0,scene0011_00,window,18,986.0
0,scene0011_00,counter,19,314.0
0,scene0011_00,sink,20,722.0
0,scene0011_00,door,23,452.0
0,scene0011_00,door,24,452.0
1,scene0011_01,refrigerator,0,629.0
1,scene0011_01,refrigerator,20,
1,scene0011_01,chair,1,241.0
1,scene0011_01,chair,2,266.0
1,scene0011_01,chair,3,226.0
1,scene0011_01,chair,4,236.0
1,scene0011_01,chair,5,225.0
1,scene0011_01,chair,6,232.0
1,scene0011_01,chair,7,259.0
1,scene0011_01,chair,8,249.0
1,scene0011_01,chair,9,231.0
1,scene0011_01,chair,10,267.0
1,scene0011_01,counter,11,310.0
1,scene0011_01,window,12,973.0
1,scene0011_01,table,13,826.0
1,scene0011_01,otherfurniture,14,545.0
1,scene0011_01,otherfurniture,16,520.0
1,scene0011_01,otherfurniture,17,546.0
1,scene0011_01,cabinet,15,209.0
1,scene0011_01,cabinet,18,
1,scene0011_01,cabinet,21,
1,scene0011_01,sink,19,
1,scene0011_01,door,22,477.0
2,scene0015_00,chair,0,310.0
2,scene0015_00,chair,1,291.0
2,scene0015_00,chair,4,290.0
2,scene0015_00,chair,5,
2,scene0015_00,chair,6,343.0
2,scene0015_00,chair,7,305.0
2,scene0015_00,chair,8,341.0
2,scene0015_00,chair,9,276.0
2,scene0015_00,chair,10,
2,scene0015_00,chair,11,328.0
2,scene0015_00,chair,12,283.0
2,scene0015_00,chair,13,324.0
2,scene0015_00,chair,14,313.0
