------------ Options -------------
ap_iou_threshold: 0.25
batch_size: 8
bn_decay_rate: 0.5
bn_decay_step: 20
cluster_sampling: vote_fps
conf_thresh: 0.05
consistency_ramp_len: 30
consistency_weight: 10.0
dataset: scannet
distillation_ramp_len: 30
distillation_weight: 1.0
ema_decay: 0.999
faster_eval: False
ft_layers: all
log_dir: /home/peisheng/SDCoT/log_scannet/log_SDCoT_20240903-20:56
lr: 0.001
lr_decay_rate: 0.1
lr_decay_steps: [80, 120]
method: SDCoT
model_checkpoint_path: log_scannet/log_basetrain_20240517-22:53
model_name: None
n_epochs: 150
n_novel_class: 9
nms_iou: 0.25
no_height: False
num_input_channel: 1
num_point: 40000
num_target: 128
pc_augm: True
per_class_proposal: False
phase: train
pseudo_cls_conf_thresh: 0.9
pseudo_obj_conf_thresh: 0.95
use_3d_nms: False
use_cls_nms: False
use_color: False
use_old_type_nms: False
vote_factor: 1
-------------- End ----------------

------------ Classifier Weights Base:------------  
 tensor([[-0.6231,  0.0859,  0.2508,  ...,  0.4423, -0.0584, -0.3999],
        [-0.5707, -0.7664, -0.4828,  ..., -0.4345, -0.6298, -0.3870],
        [ 0.2017, -0.1147,  0.2848,  ..., -0.4588, -0.0230,  0.1740],
        ...,
        [ 0.1050, -0.3755, -0.5095,  ..., -0.4371, -0.2454,  0.1352],
        [-0.1321, -0.0147,  0.1639,  ..., -0.2600,  0.1629, -0.6102],
        [-0.1040,  0.3956, -0.3068,  ...,  0.2792,  0.2829,  0.1840]],
       device='cuda:0')

**** EPOCH 000, STEP 0 ****
2024-09-03 20:56:15.485903
Current consistency weight: 0.067379
Current distillation weight: 0.006738
 ---- batch: 020 ----
train mean box_loss: 10.668044
train mean center_consistency_loss: 5.874158
train mean center_loss: 3.762924
train mean class_consistency_loss: 1.623236
train mean consistency_loss: 11.072691
train mean detection_loss: 41.276827
train mean distillation_loss: 47.059214
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.005951
train mean neg_ratio: 14.530273
train mean obj_acc: 16.556337
train mean objectness_loss: 9.835431
train mean pos_ratio: 1.459961
train mean sem_cls_loss: 128.455340
train mean size_consistency_loss: 3.575297
train mean size_reg_loss: 6.899168
train mean supervised_loss: 555.758667
train mean vote_loss: 14.299040
 ---- batch: 040 ----
train mean box_loss: 11.400491
train mean center_consistency_loss: 7.780959
train mean center_loss: 3.600176
train mean class_consistency_loss: 1.677064
train mean consistency_loss: 13.543429
train mean detection_loss: 33.274004
train mean distillation_loss: 55.364542
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.001313
train mean neg_ratio: 15.024414
train mean obj_acc: 17.443033
train mean objectness_loss: 6.614346
train mean pos_ratio: 1.289062
train mean sem_cls_loss: 92.831697
train mean size_consistency_loss: 4.085406
train mean size_reg_loss: 7.799002
train mean supervised_loss: 458.907816
train mean vote_loss: 12.616778
 ---- batch: 060 ----
train mean box_loss: 9.938480
train mean center_consistency_loss: 9.752363
train mean center_loss: 3.247445
train mean class_consistency_loss: 1.617271
train mean consistency_loss: 15.107887
train mean detection_loss: 28.072969
train mean distillation_loss: 53.704905
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.000337
train mean neg_ratio: 14.905273
train mean obj_acc: 17.858668
train mean objectness_loss: 6.057878
train mean pos_ratio: 1.380859
train mean sem_cls_loss: 75.527750
train mean size_consistency_loss: 3.738253
train mean size_reg_loss: 6.690698
train mean supervised_loss: 389.936586
train mean vote_loss: 10.920689
 ---- batch: 080 ----
train mean box_loss: 8.718790
train mean center_consistency_loss: 8.295078
