------------ Options -------------
ap_iou_threshold: 0.25
batch_size: 8
bn_decay_rate: 0.5
bn_decay_step: 20
cluster_sampling: vote_fps
conf_thresh: 0.05
consistency_ramp_len: 30
consistency_weight: 10.0
dataset: scannet
distillation_ramp_len: 30
distillation_weight: 1.0
ema_decay: 0.999
faster_eval: False
ft_layers: all
log_dir: /home/peisheng/SDCoT/log_scannet/log_basetrain_20240809-17:24
lr: 0.001
lr_decay_rate: 0.1
lr_decay_steps: [80, 120]
method: basetrain
model_checkpoint_path: None
model_name: None
n_epochs: 150
n_novel_class: 5
nms_iou: 0.25
no_height: False
num_input_channel: 1
num_point: 40000
num_target: 128
pc_augm: True
per_class_proposal: False
phase: train
pseudo_cls_conf_thresh: 0.9
pseudo_obj_conf_thresh: 0.95
use_3d_nms: False
use_cls_nms: False
use_color: False
use_old_type_nms: False
vote_factor: 1
-------------- End ----------------


**** EPOCH 000 ****
Current BN decay momentum: 0.500000
2024-08-09 17:24:20.022346
 ---- batch: 020 ----
train mean box_loss: 0.727261
train mean center_loss: 0.481377
train mean detection_loss: 1.372689
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.048049
train mean neg_ratio: 0.812646
train mean obj_acc: 0.907694
train mean objectness_loss: 0.101015
train mean pos_ratio: 0.029639
train mean sem_cls_loss: 2.974600
train mean size_reg_loss: 0.197836
train mean supervised_loss: 26.669002
train mean vote_loss: 1.294211
 ---- batch: 040 ----
train mean box_loss: 0.445357
train mean center_loss: 0.290371
train mean detection_loss: 1.024362
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.015370
train mean neg_ratio: 0.783594
train mean obj_acc: 0.958216
train mean objectness_loss: 0.086053
train mean pos_ratio: 0.034033
train mean sem_cls_loss: 2.679890
train mean size_reg_loss: 0.139616
train mean supervised_loss: 21.297584
train mean vote_loss: 1.105397
 ---- batch: 060 ----
train mean box_loss: 0.384664
train mean center_loss: 0.227475
train mean detection_loss: 0.921681
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.007655
train mean neg_ratio: 0.727051
train mean obj_acc: 0.927694
train mean objectness_loss: 0.111633
train mean pos_ratio: 0.051416
train mean sem_cls_loss: 2.406003
train mean size_reg_loss: 0.149534
train mean supervised_loss: 18.820581
train mean vote_loss: 0.960377
 ---- batch: 080 ----
train mean box_loss: 0.305190
train mean center_loss: 0.171786
train mean detection_loss: 0.786857
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.005369
train mean neg_ratio: 0.702344
train mean obj_acc: 0.879260
train mean objectness_loss: 0.113767
train mean pos_ratio: 0.057764
train mean sem_cls_loss: 2.123915
train mean size_reg_loss: 0.128035
train mean supervised_loss: 16.472844
train mean vote_loss: 0.860427
 ---- batch: 100 ----
train mean box_loss: 0.294654
train mean center_loss: 0.161147
train mean detection_loss: 0.764051
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.003822
train mean neg_ratio: 0.676855
train mean obj_acc: 0.849398
train mean objectness_loss: 0.123398
train mean pos_ratio: 0.068262
train mean sem_cls_loss: 2.038490
train mean size_reg_loss: 0.129686
train mean supervised_loss: 15.832727
train mean vote_loss: 0.819221
 ---- batch: 120 ----
train mean box_loss: 0.269818
train mean center_loss: 0.153753
train mean detection_loss: 0.726754
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.003333
train mean neg_ratio: 0.646875
train mean obj_acc: 0.817374
train mean objectness_loss: 0.132993
train mean pos_ratio: 0.080469
train mean sem_cls_loss: 1.952199
train mean size_reg_loss: 0.112732
train mean supervised_loss: 15.176929
train mean vote_loss: 0.790938
 ---- batch: 140 ----
train mean box_loss: 0.266500
train mean center_loss: 0.146331
train mean detection_loss: 0.716069
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.003035
train mean neg_ratio: 0.640186
train mean obj_acc: 0.792757
train mean objectness_loss: 0.140272
train mean pos_ratio: 0.081543
train mean sem_cls_loss: 1.897164
train mean size_reg_loss: 0.117134
train mean supervised_loss: 15.106329
train mean vote_loss: 0.794564

**** EPOCH 001 ****
Current BN decay momentum: 0.500000
2024-08-09 17:24:52.449244
 ---- batch: 020 ----
train mean box_loss: 0.251528
train mean center_loss: 0.130886
train mean detection_loss: 0.694116
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.002330
train mean neg_ratio: 0.615625
train mean obj_acc: 0.782957
train mean objectness_loss: 0.143940
train mean pos_ratio: 0.089990
train mean sem_cls_loss: 1.853092
train mean size_reg_loss: 0.118311
train mean supervised_loss: 14.436247
train mean vote_loss: 0.749508
 ---- batch: 040 ----
train mean box_loss: 0.246008
train mean center_loss: 0.133438
train mean detection_loss: 0.660648
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.002032
train mean neg_ratio: 0.625439
train mean obj_acc: 0.818993
train mean objectness_loss: 0.138702
train mean pos_ratio: 0.090771
train mean sem_cls_loss: 1.726447
train mean size_reg_loss: 0.110537
train mean supervised_loss: 14.203552
train mean vote_loss: 0.759707
 ---- batch: 060 ----
train mean box_loss: 0.238683
train mean center_loss: 0.127977
train mean detection_loss: 0.681663
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.001711
train mean neg_ratio: 0.608984
train mean obj_acc: 0.810898
train mean objectness_loss: 0.141347
train mean pos_ratio: 0.093750
train mean sem_cls_loss: 1.861534
train mean size_reg_loss: 0.108995
train mean supervised_loss: 14.206346
train mean vote_loss: 0.738972
 ---- batch: 080 ----
train mean box_loss: 0.240803
train mean center_loss: 0.134650
train mean detection_loss: 0.656371
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.001611
train mean neg_ratio: 0.603857
train mean obj_acc: 0.799738
train mean objectness_loss: 0.147324
train mean pos_ratio: 0.095898
train mean sem_cls_loss: 1.709531
train mean size_reg_loss: 0.104542
train mean supervised_loss: 13.893648
train mean vote_loss: 0.732993
 ---- batch: 100 ----
train mean box_loss: 0.241277
train mean center_loss: 0.124820
train mean detection_loss: 0.652200
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.001539
train mean neg_ratio: 0.626367
train mean obj_acc: 0.803394
train mean objectness_loss: 0.140157
train mean pos_ratio: 0.089063
train mean sem_cls_loss: 1.704222
train mean size_reg_loss: 0.114918
train mean supervised_loss: 14.376721
train mean vote_loss: 0.785472
 ---- batch: 120 ----
train mean box_loss: 0.219808
train mean center_loss: 0.123448
