------------ Options -------------
ap_iou_threshold: 0.25
batch_size: 8
bn_decay_rate: 0.5
bn_decay_step: 20
cluster_sampling: vote_fps
conf_thresh: 0.05
consistency_ramp_len: 30
consistency_weight: 10.0
dataset: scannet
distillation_ramp_len: 30
distillation_weight: 1.0
ema_decay: 0.999
faster_eval: False
ft_layers: all
log_dir: /home/peisheng/SDCoT/log_scannet/log_basetrain_20240911-10:24
lr: 0.001
lr_decay_rate: 0.1
lr_decay_steps: [80, 120]
method: basetrain
model_checkpoint_path: None
model_name: None
n_epochs: 150
n_novel_class: 5
nms_iou: 0.25
no_height: False
num_input_channel: 1
num_point: 40000
num_target: 128
pc_augm: True
per_class_proposal: False
phase: train
pseudo_cls_conf_thresh: 0.9
pseudo_obj_conf_thresh: 0.95
use_3d_nms: False
use_cls_nms: False
use_color: False
use_old_type_nms: False
vote_factor: 1
-------------- End ----------------


**** EPOCH 000 ****
Current BN decay momentum: 0.500000
2024-09-11 10:24:01.829699
 ---- batch: 020 ----
train mean box_loss: 1.720105
train mean center_loss: 1.119397
train mean detection_loss: 3.620271
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.091629
train mean neg_ratio: 0.857373
train mean obj_acc: 0.964757
train mean objectness_loss: 0.254246
train mean pos_ratio: 0.022021
train mean sem_cls_loss: 8.865213
train mean size_reg_loss: 0.509079
train mean supervised_loss: 50.988243
train mean vote_loss: 1.478553
 ---- batch: 040 ----
train mean box_loss: 1.193046
train mean center_loss: 0.686518
train mean detection_loss: 2.807147
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.043122
train mean neg_ratio: 0.885205
train mean obj_acc: 0.981535
train mean objectness_loss: 0.158195
train mean pos_ratio: 0.016650
train mean sem_cls_loss: 7.675013
train mean size_reg_loss: 0.463407
train mean supervised_loss: 45.702632
train mean vote_loss: 1.763117
 ---- batch: 060 ----
train mean box_loss: 1.079586
train mean center_loss: 0.546177
train mean detection_loss: 2.692670
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.023957
train mean neg_ratio: 0.866064
train mean obj_acc: 0.977320
train mean objectness_loss: 0.165872
train mean pos_ratio: 0.020068
train mean sem_cls_loss: 7.650739
train mean size_reg_loss: 0.509452
train mean supervised_loss: 42.478513
train mean vote_loss: 1.555182
 ---- batch: 080 ----
train mean box_loss: 0.919963
train mean center_loss: 0.466189
train mean detection_loss: 2.485684
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.013203
train mean neg_ratio: 0.818262
train mean obj_acc: 0.962610
train mean objectness_loss: 0.226534
train mean pos_ratio: 0.031543
train mean sem_cls_loss: 7.262268
train mean size_reg_loss: 0.440570
train mean supervised_loss: 36.596106
train mean vote_loss: 1.173927
 ---- batch: 100 ----
train mean box_loss: 0.773656
train mean center_loss: 0.378238
train mean detection_loss: 2.297480
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.012291
train mean neg_ratio: 0.751367
train mean obj_acc: 0.930997
train mean objectness_loss: 0.297802
train mean pos_ratio: 0.044336
train mean sem_cls_loss: 6.874612
train mean size_reg_loss: 0.383127
train mean supervised_loss: 33.079063
train mean vote_loss: 1.010427
 ---- batch: 120 ----
train mean box_loss: 0.740783
train mean center_loss: 0.326268
train mean detection_loss: 2.233447
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.008887
train mean neg_ratio: 0.689795
train mean obj_acc: 0.879793
train mean objectness_loss: 0.363797
train mean pos_ratio: 0.059912
train mean sem_cls_loss: 6.553826
train mean size_reg_loss: 0.405628
train mean supervised_loss: 31.344023
train mean vote_loss: 0.900956
 ---- batch: 140 ----
train mean box_loss: 0.674025
train mean center_loss: 0.307546
train mean detection_loss: 2.069233
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.007547
