------------ Options -------------
ap_iou_threshold: 0.25
batch_size: 8
bn_decay_rate: 0.5
bn_decay_step: 20
cluster_sampling: vote_fps
conf_thresh: 0.05
consistency_ramp_len: 30
consistency_weight: 10.0
dataset: scannet
distillation_ramp_len: 30
distillation_weight: 1.0
ema_decay: 0.999
faster_eval: False
ft_layers: all
log_dir: /home/peisheng/SDCoT/log_scannet/log_basetrain_20240911-18:07
lr: 0.001
lr_decay_rate: 0.1
lr_decay_steps: [80, 120]
method: basetrain
model_checkpoint_path: None
model_name: None
n_epochs: 150
n_novel_class: 5
nms_iou: 0.25
no_height: False
num_input_channel: 1
num_point: 40000
num_target: 128
pc_augm: True
per_class_proposal: False
phase: train
pseudo_cls_conf_thresh: 0.9
pseudo_obj_conf_thresh: 0.95
use_3d_nms: False
use_cls_nms: False
use_color: False
use_old_type_nms: False
vote_factor: 1
-------------- End ----------------


**** EPOCH 000 ****
Current BN decay momentum: 0.500000
2024-09-11 18:07:09.588600
 ---- batch: 020 ----
train mean box_loss: 1.743294
train mean center_loss: 1.094538
train mean detection_loss: 3.736074
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.143332
train mean neg_ratio: 0.858496
train mean obj_acc: 0.838211
train mean objectness_loss: 0.348417
train mean pos_ratio: 0.019873
train mean sem_cls_loss: 9.092853
train mean size_reg_loss: 0.505425
train mean supervised_loss: 52.773200
train mean vote_loss: 1.541246
 ---- batch: 040 ----
train mean box_loss: 1.343847
train mean center_loss: 0.736116
train mean detection_loss: 3.042233
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.071290
train mean neg_ratio: 0.868604
train mean obj_acc: 0.977723
train mean objectness_loss: 0.195555
train mean pos_ratio: 0.019775
train mean sem_cls_loss: 8.003044
train mean size_reg_loss: 0.536441
train mean supervised_loss: 46.233223
train mean vote_loss: 1.581089
 ---- batch: 060 ----
train mean box_loss: 1.029132
train mean center_loss: 0.542601
train mean detection_loss: 2.621315
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.029552
train mean neg_ratio: 0.854395
train mean obj_acc: 0.974870
train mean objectness_loss: 0.177511
train mean pos_ratio: 0.022021
train mean sem_cls_loss: 7.517141
train mean size_reg_loss: 0.456979
train mean supervised_loss: 40.364272
train mean vote_loss: 1.415112
 ---- batch: 080 ----
train mean box_loss: 0.831599
train mean center_loss: 0.434870
train mean detection_loss: 2.405902
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.021134
train mean neg_ratio: 0.799365
train mean obj_acc: 0.961858
train mean objectness_loss: 0.239429
train mean pos_ratio: 0.031592
train mean sem_cls_loss: 7.272941
train mean size_reg_loss: 0.375595
train mean supervised_loss: 35.699179
train mean vote_loss: 1.164016
 ---- batch: 100 ----
train mean box_loss: 0.719132
train mean center_loss: 0.365328
train mean detection_loss: 2.154164
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.013857
train mean neg_ratio: 0.722607
train mean obj_acc: 0.935164
train mean objectness_loss: 0.316509
train mean pos_ratio: 0.046875
train mean sem_cls_loss: 6.383884
train mean size_reg_loss: 0.339947
train mean supervised_loss: 31.160126
train mean vote_loss: 0.961849
 ---- batch: 120 ----
train mean box_loss: 0.692561
train mean center_loss: 0.326183
train mean detection_loss: 2.126194
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.011470
train mean neg_ratio: 0.694531
train mean obj_acc: 0.872643
train mean objectness_loss: 0.353029
train mean pos_ratio: 0.057471
train mean sem_cls_loss: 6.285595
train mean size_reg_loss: 0.354907
train mean supervised_loss: 30.013906
train mean vote_loss: 0.875196
 ---- batch: 140 ----
train mean box_loss: 0.739365
train mean center_loss: 0.297217
train mean detection_loss: 2.161652
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.010072
train mean neg_ratio: 0.672412
train mean obj_acc: 0.855999
train mean objectness_loss: 0.378491
train mean pos_ratio: 0.063086
train mean sem_cls_loss: 6.165208
train mean size_reg_loss: 0.432076
train mean supervised_loss: 30.465811
train mean vote_loss: 0.884929

**** EPOCH 001 ****
Current BN decay momentum: 0.500000
2024-09-11 18:07:45.754344
 ---- batch: 020 ----
train mean box_loss: 0.649982
train mean center_loss: 0.270738
train mean detection_loss: 1.980164
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.007871
train mean neg_ratio: 0.652979
train mean obj_acc: 0.831573
train mean objectness_loss: 0.401021
train mean pos_ratio: 0.074756
train mean sem_cls_loss: 5.648356
train mean size_reg_loss: 0.371373
train mean supervised_loss: 27.979373
train mean vote_loss: 0.817774
 ---- batch: 040 ----
train mean box_loss: 0.594401
train mean center_loss: 0.264895
train mean detection_loss: 1.978059
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.006788
train mean neg_ratio: 0.623828
train mean obj_acc: 0.824513
train mean objectness_loss: 0.418947
train mean pos_ratio: 0.079883
train mean sem_cls_loss: 5.870927
train mean size_reg_loss: 0.322718
train mean supervised_loss: 27.980537
train mean vote_loss: 0.819994
 ---- batch: 060 ----
train mean box_loss: 0.622252
