------------ Options -------------
ap_iou_threshold: 0.25
batch_size: 8
bn_decay_rate: 0.5
bn_decay_step: 20
cluster_sampling: vote_fps
conf_thresh: 0.05
consistency_ramp_len: 30
consistency_weight: 10.0
dataset: scannet
distillation_ramp_len: 30
distillation_weight: 1.0
ema_decay: 0.999
faster_eval: False
ft_layers: all
log_dir: /home/peisheng/SDCoT/log_scannet/log_basetrain_20240912-01:05
lr: 0.001
lr_decay_rate: 0.1
lr_decay_steps: [80, 120]
method: basetrain
model_checkpoint_path: None
model_name: None
n_epochs: 150
n_novel_class: 5
nms_iou: 0.25
no_height: False
num_input_channel: 1
num_point: 40000
num_target: 128
pc_augm: True
per_class_proposal: False
phase: train
pseudo_cls_conf_thresh: 0.9
pseudo_obj_conf_thresh: 0.95
use_3d_nms: False
use_cls_nms: False
use_color: False
use_old_type_nms: False
vote_factor: 1
-------------- End ----------------


**** EPOCH 000 ****
Current BN decay momentum: 0.500000
2024-09-12 01:05:31.241248
 ---- batch: 020 ----
train mean box_loss: 1.692391
train mean center_loss: 0.997543
train mean detection_loss: 3.625668
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.142182
train mean neg_ratio: 0.838184
train mean obj_acc: 0.895713
train mean objectness_loss: 0.316951
train mean pos_ratio: 0.025000
train mean sem_cls_loss: 8.874003
train mean size_reg_loss: 0.552666
train mean supervised_loss: 50.422526
train mean vote_loss: 1.416585
 ---- batch: 040 ----
train mean box_loss: 1.241767
train mean center_loss: 0.663074
train mean detection_loss: 3.010513
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.059153
train mean neg_ratio: 0.858789
train mean obj_acc: 0.974350
train mean objectness_loss: 0.194371
train mean pos_ratio: 0.022559
train mean sem_cls_loss: 8.357803
train mean size_reg_loss: 0.519539
train mean supervised_loss: 45.830714
train mean vote_loss: 1.572559
 ---- batch: 060 ----
train mean box_loss: 0.900069
train mean center_loss: 0.478453
train mean detection_loss: 2.508626
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.024100
train mean neg_ratio: 0.818213
train mean obj_acc: 0.965502
train mean objectness_loss: 0.207849
train mean pos_ratio: 0.029102
train mean sem_cls_loss: 7.523164
train mean size_reg_loss: 0.397516
train mean supervised_loss: 38.182865
train mean vote_loss: 1.309661
 ---- batch: 080 ----
train mean box_loss: 0.800387
train mean center_loss: 0.381044
train mean detection_loss: 2.338766
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.017741
train mean neg_ratio: 0.744580
train mean obj_acc: 0.942437
train mean objectness_loss: 0.280450
train mean pos_ratio: 0.042773
train mean sem_cls_loss: 6.990770
train mean size_reg_loss: 0.401603
train mean supervised_loss: 33.556228
train mean vote_loss: 1.016856
 ---- batch: 100 ----
train mean box_loss: 0.712528
train mean center_loss: 0.329588
train mean detection_loss: 2.207538
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.012650
train mean neg_ratio: 0.705420
train mean obj_acc: 0.904148
train mean objectness_loss: 0.332601
train mean pos_ratio: 0.052637
train mean sem_cls_loss: 6.643549
train mean size_reg_loss: 0.370289
train mean supervised_loss: 31.354151
train mean vote_loss: 0.927877
 ---- batch: 120 ----
train mean box_loss: 0.637023
train mean center_loss: 0.306187
train mean detection_loss: 2.061355
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.010601
train mean neg_ratio: 0.680908
train mean obj_acc: 0.870022
train mean objectness_loss: 0.361321
train mean pos_ratio: 0.062988
train mean sem_cls_loss: 6.218359
train mean size_reg_loss: 0.320235
train mean supervised_loss: 29.353780
train mean vote_loss: 0.874023
 ---- batch: 140 ----
train mean box_loss: 0.636487
train mean center_loss: 0.285107
train mean detection_loss: 1.986812
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.009727
train mean neg_ratio: 0.656104
train mean obj_acc: 0.849922
train mean objectness_loss: 0.377485
train mean pos_ratio: 0.067969
train mean sem_cls_loss: 5.807911
train mean size_reg_loss: 0.341653
train mean supervised_loss: 28.246930
train mean vote_loss: 0.837881

**** EPOCH 001 ****
Current BN decay momentum: 0.500000
2024-09-12 01:06:07.948826
 ---- batch: 020 ----
train mean box_loss: 0.625740
train mean center_loss: 0.271064
train mean detection_loss: 1.970037
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.006136
train mean neg_ratio: 0.641602
train mean obj_acc: 0.833625
train mean objectness_loss: 0.399161
train mean pos_ratio: 0.077051
train mean sem_cls_loss: 5.723581
train mean size_reg_loss: 0.348540
train mean supervised_loss: 27.904954
train mean vote_loss: 0.820458
 ---- batch: 040 ----
train mean box_loss: 0.583063
train mean center_loss: 0.257344
train mean detection_loss: 1.807693
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.005842
train mean neg_ratio: 0.643164
train mean obj_acc: 0.847472
train mean objectness_loss: 0.386019
train mean pos_ratio: 0.077197
train mean sem_cls_loss: 5.158098
train mean size_reg_loss: 0.319877
train mean supervised_loss: 26.070470
train mean vote_loss: 0.799354
 ---- batch: 060 ----
train mean box_loss: 0.553381
train mean center_loss: 0.241251
train mean detection_loss: 1.768643
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.004946
train mean neg_ratio: 0.632080
train mean obj_acc: 0.829947
train mean objectness_loss: 0.400455
train mean pos_ratio: 0.081885
train mean sem_cls_loss: 5.075171
train mean size_reg_loss: 0.307184
train mean supervised_loss: 25.443105
train mean vote_loss: 0.775668
 ---- batch: 080 ----
train mean box_loss: 0.519461
train mean center_loss: 0.237008
train mean detection_loss: 1.693127
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.004511
train mean neg_ratio: 0.625537
train mean obj_acc: 0.839016
train mean objectness_loss: 0.417305
train mean pos_ratio: 0.086328
train mean sem_cls_loss: 4.825067
train mean size_reg_loss: 0.277942
train mean supervised_loss: 24.913315
train mean vote_loss: 0.798205
 ---- batch: 100 ----
train mean box_loss: 0.550280
train mean center_loss: 0.238300
train mean detection_loss: 1.785618
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.004139
train mean neg_ratio: 0.629004
train mean obj_acc: 0.828815
train mean objectness_loss: 0.407326
train mean pos_ratio: 0.083057
train mean sem_cls_loss: 5.158374
train mean size_reg_loss: 0.307841
train mean supervised_loss: 25.757361
train mean vote_loss: 0.790119
 ---- batch: 120 ----
train mean box_loss: 0.554082
train mean center_loss: 0.235053
train mean detection_loss: 1.739157
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.004219
train mean neg_ratio: 0.629639
train mean obj_acc: 0.833395
train mean objectness_loss: 0.416507
train mean pos_ratio: 0.082715
train mean sem_cls_loss: 4.884105
train mean size_reg_loss: 0.314811
train mean supervised_loss: 25.452570
train mean vote_loss: 0.806100
 ---- batch: 140 ----
train mean box_loss: 0.552567
train mean center_loss: 0.240975
train mean detection_loss: 1.701288
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.004012
train mean neg_ratio: 0.617676
train mean obj_acc: 0.836051
train mean objectness_loss: 0.416357
train mean pos_ratio: 0.085840
train mean sem_cls_loss: 4.702710
train mean size_reg_loss: 0.307579
train mean supervised_loss: 24.767219
train mean vote_loss: 0.775434

**** EPOCH 002 ****
Current BN decay momentum: 0.500000
2024-09-12 01:06:43.334525
 ---- batch: 020 ----
train mean box_loss: 0.561114
train mean center_loss: 0.228542
train mean detection_loss: 1.708320
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.003579
train mean neg_ratio: 0.626416
train mean obj_acc: 0.837177
train mean objectness_loss: 0.417496
train mean pos_ratio: 0.084180
train mean sem_cls_loss: 4.692291
train mean size_reg_loss: 0.328993
train mean supervised_loss: 24.686573
train mean vote_loss: 0.760337
 ---- batch: 040 ----
train mean box_loss: 0.537970
train mean center_loss: 0.226493
train mean detection_loss: 1.604136
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.003266
train mean neg_ratio: 0.637402
train mean obj_acc: 0.839728
train mean objectness_loss: 0.404905
train mean pos_ratio: 0.085352
train mean sem_cls_loss: 4.318566
train mean size_reg_loss: 0.308211
train mean supervised_loss: 23.521289
train mean vote_loss: 0.747993
 ---- batch: 060 ----
train mean box_loss: 0.535960
train mean center_loss: 0.228804
train mean detection_loss: 1.614078
