------------ Options -------------
ap_iou_threshold: 0.25
batch_size: 8
bn_decay_rate: 0.5
bn_decay_step: 20
cluster_sampling: vote_fps
conf_thresh: 0.05
consistency_ramp_len: 30
consistency_weight: 10.0
dataset: scannet
distillation_ramp_len: 30
distillation_weight: 1.0
ema_decay: 0.999
faster_eval: False
ft_layers: all
log_dir: /home/peisheng/SDCoT/log_scannet/log_basetrain_20240912-21:25
lr: 0.001
lr_decay_rate: 0.1
lr_decay_steps: [80, 120]
method: basetrain
model_checkpoint_path: None
model_name: None
n_epochs: 150
n_novel_class: 5
nms_iou: 0.25
no_height: False
num_input_channel: 1
num_point: 40000
num_target: 128
pc_augm: True
per_class_proposal: False
phase: train
pseudo_cls_conf_thresh: 0.9
pseudo_obj_conf_thresh: 0.95
use_3d_nms: False
use_cls_nms: False
use_color: False
use_old_type_nms: False
vote_factor: 1
-------------- End ----------------


**** EPOCH 000 ****
Current BN decay momentum: 0.500000
2024-09-12 21:25:39.310807
 ---- batch: 020 ----
train mean box_loss: 1.702583
train mean center_loss: 1.086890
train mean detection_loss: 3.675838
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.099853
train mean neg_ratio: 0.864014
train mean obj_acc: 0.940728
train mean objectness_loss: 0.284641
train mean pos_ratio: 0.021631
train mean sem_cls_loss: 9.154671
train mean size_reg_loss: 0.515840
train mean supervised_loss: 51.902007
train mean vote_loss: 1.514363
 ---- batch: 040 ----
train mean box_loss: 1.211167
train mean center_loss: 0.682406
train mean detection_loss: 2.927950
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.040013
train mean neg_ratio: 0.874902
train mean obj_acc: 0.978064
train mean objectness_loss: 0.178314
train mean pos_ratio: 0.019580
train mean sem_cls_loss: 8.138131
train mean size_reg_loss: 0.488748
train mean supervised_loss: 44.581618
train mean vote_loss: 1.530211
 ---- batch: 060 ----
train mean box_loss: 1.027764
train mean center_loss: 0.549140
train mean detection_loss: 2.661662
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.024415
train mean neg_ratio: 0.859912
train mean obj_acc: 0.975196
train mean objectness_loss: 0.180321
train mean pos_ratio: 0.021777
train mean sem_cls_loss: 7.718683
train mean size_reg_loss: 0.454209
train mean supervised_loss: 41.546153
train mean vote_loss: 1.492954
 ---- batch: 080 ----
train mean box_loss: 0.847053
train mean center_loss: 0.431476
train mean detection_loss: 2.475361
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.017238
train mean neg_ratio: 0.818555
train mean obj_acc: 0.965602
train mean objectness_loss: 0.225746
train mean pos_ratio: 0.029053
train mean sem_cls_loss: 7.577173
train mean size_reg_loss: 0.398340
train mean supervised_loss: 37.050900
train mean vote_loss: 1.229729
 ---- batch: 100 ----
train mean box_loss: 0.756032
train mean center_loss: 0.359353
train mean detection_loss: 2.237601
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.010633
train mean neg_ratio: 0.775049
train mean obj_acc: 0.952519
train mean objectness_loss: 0.259036
train mean pos_ratio: 0.038232
