------------ Options -------------
ap_iou_threshold: 0.25
batch_size: 8
bn_decay_rate: 0.5
bn_decay_step: 20
cluster_sampling: vote_fps
conf_thresh: 0.05
consistency_ramp_len: 30
consistency_weight: 10.0
dataset: scannet
distillation_ramp_len: 30
distillation_weight: 1.0
ema_decay: 0.999
faster_eval: False
ft_layers: all
log_dir: /home/peisheng/SDCoT/log_scannet/log_basetrain_20240914-13:19
lr: 0.001
lr_decay_rate: 0.1
lr_decay_steps: [80, 120]
method: basetrain
model_checkpoint_path: None
model_name: None
n_epochs: 150
n_novel_class: 5
nms_iou: 0.25
no_height: False
num_input_channel: 1
num_point: 40000
num_target: 128
pc_augm: True
per_class_proposal: False
phase: train
pseudo_cls_conf_thresh: 0.9
pseudo_obj_conf_thresh: 0.95
use_3d_nms: False
use_cls_nms: False
use_color: False
use_old_type_nms: False
vote_factor: 1
-------------- End ----------------


**** EPOCH 000 ****
Current BN decay momentum: 0.500000
2024-09-14 13:19:29.090533
 ---- batch: 020 ----
train mean box_loss: 1.634547
train mean center_loss: 1.016152
train mean detection_loss: 3.507406
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.111751
train mean neg_ratio: 0.850977
train mean obj_acc: 0.871948
train mean objectness_loss: 0.327115
train mean pos_ratio: 0.021436
train mean sem_cls_loss: 8.546511
train mean size_reg_loss: 0.506644
train mean supervised_loss: 49.702715
train mean vote_loss: 1.462865
 ---- batch: 040 ----
train mean box_loss: 1.125383
train mean center_loss: 0.652802
train mean detection_loss: 2.765783
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.036356
train mean neg_ratio: 0.851611
train mean obj_acc: 0.974852
train mean objectness_loss: 0.194253
train mean pos_ratio: 0.021924
train mean sem_cls_loss: 7.716369
train mean size_reg_loss: 0.436224
train mean supervised_loss: 43.535468
train mean vote_loss: 1.587764
 ---- batch: 060 ----
train mean box_loss: 0.976281
train mean center_loss: 0.518786
train mean detection_loss: 2.427274
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.022260
train mean neg_ratio: 0.854053
train mean obj_acc: 0.974207
train mean objectness_loss: 0.172645
train mean pos_ratio: 0.022559
train mean sem_cls_loss: 6.823350
train mean size_reg_loss: 0.435235
train mean supervised_loss: 39.483553
train mean vote_loss: 1.521082
 ---- batch: 080 ----
train mean box_loss: 0.852310
train mean center_loss: 0.398736
train mean detection_loss: 2.394135
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.012594
train mean neg_ratio: 0.807764
train mean obj_acc: 0.960258
train mean objectness_loss: 0.215440
train mean pos_ratio: 0.032813
train mean sem_cls_loss: 7.170525
train mean size_reg_loss: 0.440981
train mean supervised_loss: 36.620672
train mean vote_loss: 1.267932
 ---- batch: 100 ----
train mean box_loss: 0.758796
train mean center_loss: 0.339483
train mean detection_loss: 2.184985
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.009974
train mean neg_ratio: 0.731592
train mean obj_acc: 0.917941
train mean objectness_loss: 0.295372
train mean pos_ratio: 0.049121
train mean sem_cls_loss: 6.392513
train mean size_reg_loss: 0.409339
train mean supervised_loss: 31.708811
train mean vote_loss: 0.985896
 ---- batch: 120 ----
train mean box_loss: 0.701896
train mean center_loss: 0.296306
train mean detection_loss: 2.077957
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.007397
train mean neg_ratio: 0.679248
train mean obj_acc: 0.866372
train mean objectness_loss: 0.345914
train mean pos_ratio: 0.064404
train mean sem_cls_loss: 6.015517
train mean size_reg_loss: 0.398193
train mean supervised_loss: 29.624928
train mean vote_loss: 0.884536
 ---- batch: 140 ----
train mean box_loss: 0.642438
train mean center_loss: 0.287558
train mean detection_loss: 2.003482
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.007034
train mean neg_ratio: 0.669824
train mean obj_acc: 0.838269
train mean objectness_loss: 0.372195
train mean pos_ratio: 0.067187
train mean sem_cls_loss: 5.874733
train mean size_reg_loss: 0.347845
train mean supervised_loss: 28.792813
train mean vote_loss: 0.875799

**** EPOCH 001 ****
Current BN decay momentum: 0.500000
2024-09-14 13:20:05.470479
 ---- batch: 020 ----
train mean box_loss: 0.640819
train mean center_loss: 0.269910
train mean detection_loss: 1.964796
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.005663
train mean neg_ratio: 0.621777
train mean obj_acc: 0.827044
train mean objectness_loss: 0.416453
train mean pos_ratio: 0.080518
train mean sem_cls_loss: 5.578752
train mean size_reg_loss: 0.365247
train mean supervised_loss: 27.961838
train mean vote_loss: 0.831388
 ---- batch: 040 ----
train mean box_loss: 0.570445
train mean center_loss: 0.248505
train mean detection_loss: 1.837893
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.004396
train mean neg_ratio: 0.614062
train mean obj_acc: 0.829989
train mean objectness_loss: 0.415659
train mean pos_ratio: 0.088379
train mean sem_cls_loss: 5.298094
train mean size_reg_loss: 0.317544
train mean supervised_loss: 26.158536
train mean vote_loss: 0.777960
 ---- batch: 060 ----
train mean box_loss: 0.590158
train mean center_loss: 0.245910
train mean detection_loss: 1.826762
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.004202
train mean neg_ratio: 0.636426
train mean obj_acc: 0.832268
train mean objectness_loss: 0.394389
train mean pos_ratio: 0.082861
train mean sem_cls_loss: 5.197048
train mean size_reg_loss: 0.340046
train mean supervised_loss: 26.314759
train mean vote_loss: 0.804714
 ---- batch: 080 ----
train mean box_loss: 0.534424
train mean center_loss: 0.238522
train mean detection_loss: 1.761590
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.003950
train mean neg_ratio: 0.617871
train mean obj_acc: 0.815126
train mean objectness_loss: 0.424441
train mean pos_ratio: 0.089209
train mean sem_cls_loss: 5.074728
train mean size_reg_loss: 0.291952
train mean supervised_loss: 25.262001
train mean vote_loss: 0.764610
 ---- batch: 100 ----
train mean box_loss: 0.541819
train mean center_loss: 0.237339
train mean detection_loss: 1.693531
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.003481
train mean neg_ratio: 0.620361
train mean obj_acc: 0.833811
train mean objectness_loss: 0.405940
train mean pos_ratio: 0.085107
train mean sem_cls_loss: 4.743709
train mean size_reg_loss: 0.301000
train mean supervised_loss: 24.841917
train mean vote_loss: 0.790661
 ---- batch: 120 ----
train mean box_loss: 0.565485
train mean center_loss: 0.240875
train mean detection_loss: 1.725864
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.003265
train mean neg_ratio: 0.646973
train mean obj_acc: 0.852925
train mean objectness_loss: 0.380547
train mean pos_ratio: 0.083545
train mean sem_cls_loss: 4.850529
train mean size_reg_loss: 0.321345
train mean supervised_loss: 24.938956
train mean vote_loss: 0.768031
 ---- batch: 140 ----
train mean box_loss: 0.588359
train mean center_loss: 0.236702
train mean detection_loss: 1.695694
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.003053
train mean neg_ratio: 0.626709
train mean obj_acc: 0.832067
train mean objectness_loss: 0.416375
train mean pos_ratio: 0.087793
train mean sem_cls_loss: 4.495738
train mean size_reg_loss: 0.348604
train mean supervised_loss: 25.001332
train mean vote_loss: 0.804439

**** EPOCH 002 ****
Current BN decay momentum: 0.500000
2024-09-14 13:20:41.091803
 ---- batch: 020 ----
train mean box_loss: 0.515721
train mean center_loss: 0.230700
train mean detection_loss: 1.671771
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.002567
train mean neg_ratio: 0.608838
train mean obj_acc: 0.842433
train mean objectness_loss: 0.404266
train mean pos_ratio: 0.093164
train mean sem_cls_loss: 4.769581
train mean size_reg_loss: 0.282455
train mean supervised_loss: 24.141093
train mean vote_loss: 0.742339
 ---- batch: 040 ----
train mean box_loss: 0.584183
train mean center_loss: 0.234792
train mean detection_loss: 1.709560
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.002565
train mean neg_ratio: 0.641211
train mean obj_acc: 0.834495
train mean objectness_loss: 0.397724
train mean pos_ratio: 0.080029
train mean sem_cls_loss: 4.632573
train mean size_reg_loss: 0.346826
train mean supervised_loss: 25.154785
train mean vote_loss: 0.805919
 ---- batch: 060 ----
train mean box_loss: 0.547789
train mean center_loss: 0.236719
train mean detection_loss: 1.643277
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.002858
train mean neg_ratio: 0.614307
train mean obj_acc: 0.832757
train mean objectness_loss: 0.421129
train mean pos_ratio: 0.088818
train mean sem_cls_loss: 4.424617
train mean size_reg_loss: 0.308212
train mean supervised_loss: 24.034679
train mean vote_loss: 0.760191
 ---- batch: 080 ----
train mean box_loss: 0.508816
train mean center_loss: 0.217042
train mean detection_loss: 1.516292
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.002275
train mean neg_ratio: 0.604785
train mean obj_acc: 0.827177
train mean objectness_loss: 0.408579
train mean pos_ratio: 0.097217
train mean sem_cls_loss: 4.015933
train mean size_reg_loss: 0.289499
train mean supervised_loss: 22.729705
train mean vote_loss: 0.756679
 ---- batch: 100 ----
train mean box_loss: 0.518408
train mean center_loss: 0.207595
train mean detection_loss: 1.511419
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.002086
train mean neg_ratio: 0.614844
train mean obj_acc: 0.827651
train mean objectness_loss: 0.414977
train mean pos_ratio: 0.094775
train mean sem_cls_loss: 3.927617
train mean size_reg_loss: 0.308726
train mean supervised_loss: 22.457126
train mean vote_loss: 0.734293
 ---- batch: 120 ----
train mean box_loss: 0.527935
train mean center_loss: 0.220628
train mean detection_loss: 1.576814
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.002146
train mean neg_ratio: 0.617236
train mean obj_acc: 0.832933
train mean objectness_loss: 0.424275
train mean pos_ratio: 0.091357
train mean sem_cls_loss: 4.183708
train mean size_reg_loss: 0.305161
train mean supervised_loss: 23.334866
train mean vote_loss: 0.756673
 ---- batch: 140 ----
train mean box_loss: 0.540399
train mean center_loss: 0.211833
train mean detection_loss: 1.600205
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.002078
train mean neg_ratio: 0.620654
train mean obj_acc: 0.836632
train mean objectness_loss: 0.406040
train mean pos_ratio: 0.093359
train mean sem_cls_loss: 4.283929
train mean size_reg_loss: 0.326487
train mean supervised_loss: 23.755703
train mean vote_loss: 0.775366

**** EPOCH 003 ****
Current BN decay momentum: 0.500000
2024-09-14 13:21:16.442876
 ---- batch: 020 ----
train mean box_loss: 0.502196
train mean center_loss: 0.207253
train mean detection_loss: 1.421922
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.001757
train mean neg_ratio: 0.611133
train mean obj_acc: 0.841913
train mean objectness_loss: 0.389607
train mean pos_ratio: 0.096826
train mean sem_cls_loss: 3.624613
train mean size_reg_loss: 0.293186
train mean supervised_loss: 21.534322
