------------ Options -------------
ap_iou_threshold: 0.25
batch_size: 8
bn_decay_rate: 0.5
bn_decay_step: 20
cluster_sampling: vote_fps
conf_thresh: 0.05
consistency_ramp_len: 30
consistency_weight: 10.0
dataset: scannet
distillation_ramp_len: 30
distillation_weight: 1.0
ema_decay: 0.999
faster_eval: False
ft_layers: all
log_dir: /home/peisheng/SDCoT/log_scannet/log_basetrain_20240921-12:06
lr: 0.001
lr_decay_rate: 0.1
lr_decay_steps: [80, 120]
method: basetrain
model_checkpoint_path: None
model_name: None
n_epochs: 150
n_novel_class: 5
nms_iou: 0.25
no_height: False
num_input_channel: 1
num_point: 40000
num_target: 128
pc_augm: True
per_class_proposal: False
phase: train
pseudo_cls_conf_thresh: 0.9
pseudo_obj_conf_thresh: 0.95
use_3d_nms: False
use_cls_nms: False
use_color: False
use_old_type_nms: False
vote_factor: 1
-------------- End ----------------


**** EPOCH 000 ****
Current BN decay momentum: 0.500000
2024-09-21 12:06:53.823652
 ---- batch: 020 ----
train mean box_loss: 1.657782
train mean center_loss: 1.000019
train mean detection_loss: 3.668621
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.092203
train mean neg_ratio: 0.857031
train mean obj_acc: 0.849659
train mean objectness_loss: 0.318080
train mean pos_ratio: 0.021924
train mean sem_cls_loss: 9.258998
train mean size_reg_loss: 0.565559
train mean supervised_loss: 51.678469
train mean vote_loss: 1.499226
 ---- batch: 040 ----
train mean box_loss: 1.067517
train mean center_loss: 0.604513
train mean detection_loss: 2.725838
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.031129
train mean neg_ratio: 0.854395
train mean obj_acc: 0.972859
train mean objectness_loss: 0.193942
train mean pos_ratio: 0.023828
train mean sem_cls_loss: 7.806751
train mean size_reg_loss: 0.431876
train mean supervised_loss: 41.863060
train mean vote_loss: 1.460468
 ---- batch: 060 ----
train mean box_loss: 0.876677
train mean center_loss: 0.473623
train mean detection_loss: 2.400960
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.015342
train mean neg_ratio: 0.830957
train mean obj_acc: 0.969928
train mean objectness_loss: 0.193777
train mean pos_ratio: 0.025684
train mean sem_cls_loss: 7.136969
train mean size_reg_loss: 0.387712
train mean supervised_loss: 36.219584
train mean vote_loss: 1.220999
 ---- batch: 080 ----
train mean box_loss: 0.749494
train mean center_loss: 0.385707
train mean detection_loss: 2.174026
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.010527
train mean neg_ratio: 0.777295
train mean obj_acc: 0.952688
train mean objectness_loss: 0.251948
train mean pos_ratio: 0.038135
train mean sem_cls_loss: 6.492786
train mean size_reg_loss: 0.353261
train mean supervised_loss: 32.088418
train mean vote_loss: 1.034816
 ---- batch: 100 ----
train mean box_loss: 0.702241
train mean center_loss: 0.337065
train mean detection_loss: 2.132644
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.007696
train mean neg_ratio: 0.734424
train mean obj_acc: 0.927798
train mean objectness_loss: 0.309705
train mean pos_ratio: 0.049951
train mean sem_cls_loss: 6.377751
train mean size_reg_loss: 0.357481
train mean supervised_loss: 30.736956
train mean vote_loss: 0.941051
 ---- batch: 120 ----
train mean box_loss: 0.653578
train mean center_loss: 0.290379
train mean detection_loss: 1.965196
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.005831
train mean neg_ratio: 0.708447
train mean obj_acc: 0.877635
train mean objectness_loss: 0.329282
train mean pos_ratio: 0.060498
train mean sem_cls_loss: 5.734885
train mean size_reg_loss: 0.357368
train mean supervised_loss: 28.444628
train mean vote_loss: 0.879267
 ---- batch: 140 ----
train mean box_loss: 0.626472
train mean center_loss: 0.283488
train mean detection_loss: 1.927574
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.005041
train mean neg_ratio: 0.670166
train mean obj_acc: 0.856427
train mean objectness_loss: 0.359228
train mean pos_ratio: 0.070850
train mean sem_cls_loss: 5.607437
train mean size_reg_loss: 0.337943
train mean supervised_loss: 27.759549
train mean vote_loss: 0.848381

**** EPOCH 001 ****
Current BN decay momentum: 0.500000
2024-09-21 12:07:30.490379
 ---- batch: 020 ----
train mean box_loss: 0.598282
train mean center_loss: 0.258599
train mean detection_loss: 1.777927
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.003889
train mean neg_ratio: 0.655420
train mean obj_acc: 0.833762
train mean objectness_loss: 0.392208
train mean pos_ratio: 0.072754
train mean sem_cls_loss: 4.917705
train mean size_reg_loss: 0.335794
train mean supervised_loss: 26.083536
train mean vote_loss: 0.830426
 ---- batch: 040 ----
train mean box_loss: 0.585467
train mean center_loss: 0.245513
train mean detection_loss: 1.854811
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.003139
train mean neg_ratio: 0.638330
train mean obj_acc: 0.819405
train mean objectness_loss: 0.422651
train mean pos_ratio: 0.081592
train mean sem_cls_loss: 5.290095
train mean size_reg_loss: 0.336815
train mean supervised_loss: 26.660792
train mean vote_loss: 0.811268
 ---- batch: 060 ----
train mean box_loss: 0.525401
train mean center_loss: 0.239542
train mean detection_loss: 1.737119
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.003440
train mean neg_ratio: 0.637451
train mean obj_acc: 0.823020
train mean objectness_loss: 0.415109
train mean pos_ratio: 0.079932
train mean sem_cls_loss: 5.020816
train mean size_reg_loss: 0.282419
train mean supervised_loss: 25.211064
train mean vote_loss: 0.783987
 ---- batch: 080 ----
train mean box_loss: 0.565611
train mean center_loss: 0.243939
train mean detection_loss: 1.762605
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.002927
train mean neg_ratio: 0.620850
train mean obj_acc: 0.825342
train mean objectness_loss: 0.425639
train mean pos_ratio: 0.086475
train mean sem_cls_loss: 4.920871
train mean size_reg_loss: 0.318745
train mean supervised_loss: 25.290930
train mean vote_loss: 0.766488
 ---- batch: 100 ----
train mean box_loss: 0.591427
train mean center_loss: 0.229255
train mean detection_loss: 1.719839
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.002734
train mean neg_ratio: 0.611426
train mean obj_acc: 0.814474
train mean objectness_loss: 0.419403
train mean pos_ratio: 0.095557
train mean sem_cls_loss: 4.593554
train mean size_reg_loss: 0.359439
train mean supervised_loss: 25.017591
train mean vote_loss: 0.781920
 ---- batch: 120 ----
train mean box_loss: 0.530596
train mean center_loss: 0.224602
train mean detection_loss: 1.693200
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.002613
train mean neg_ratio: 0.599902
train mean obj_acc: 0.801948
train mean objectness_loss: 0.424387
train mean pos_ratio: 0.095410
train mean sem_cls_loss: 4.752052
train mean size_reg_loss: 0.303381
train mean supervised_loss: 24.685907
train mean vote_loss: 0.775391
 ---- batch: 140 ----
train mean box_loss: 0.556092
train mean center_loss: 0.224394
train mean detection_loss: 1.688201
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.002578
train mean neg_ratio: 0.613623
train mean obj_acc: 0.803186
train mean objectness_loss: 0.438836
train mean pos_ratio: 0.094092
train mean sem_cls_loss: 4.563457
train mean size_reg_loss: 0.329120
train mean supervised_loss: 24.570023
train mean vote_loss: 0.768801

**** EPOCH 002 ****
Current BN decay momentum: 0.500000
2024-09-21 12:08:05.761866
 ---- batch: 020 ----
train mean box_loss: 0.514951
train mean center_loss: 0.215142
train mean detection_loss: 1.565142
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.002217
train mean neg_ratio: 0.611914
train mean obj_acc: 0.828200
train mean objectness_loss: 0.408624
train mean pos_ratio: 0.093408
train mean sem_cls_loss: 4.229392
train mean size_reg_loss: 0.297592
train mean supervised_loss: 23.280876
train mean vote_loss: 0.762946
 ---- batch: 040 ----
train mean box_loss: 0.527850
train mean center_loss: 0.211723
train mean detection_loss: 1.606898
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.001966
train mean neg_ratio: 0.596387
train mean obj_acc: 0.801307
train mean objectness_loss: 0.436489
train mean pos_ratio: 0.100195
train mean sem_cls_loss: 4.304015
train mean size_reg_loss: 0.314161
train mean supervised_loss: 23.801027
train mean vote_loss: 0.773205
 ---- batch: 060 ----
train mean box_loss: 0.536069
train mean center_loss: 0.199065
train mean detection_loss: 1.552815
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.001806
train mean neg_ratio: 0.598584
train mean obj_acc: 0.808894
train mean objectness_loss: 0.414707
train mean pos_ratio: 0.099854
train mean sem_cls_loss: 4.046962
train mean size_reg_loss: 0.335198
train mean supervised_loss: 22.800256
train mean vote_loss: 0.727210
 ---- batch: 080 ----
train mean box_loss: 0.540239
train mean center_loss: 0.213900
train mean detection_loss: 1.589016
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.001787
train mean neg_ratio: 0.623633
train mean obj_acc: 0.814381
train mean objectness_loss: 0.423156
train mean pos_ratio: 0.094922
train mean sem_cls_loss: 4.185995
train mean size_reg_loss: 0.324552
train mean supervised_loss: 23.561566
train mean vote_loss: 0.767141
 ---- batch: 100 ----
train mean box_loss: 0.526532
train mean center_loss: 0.202591
train mean detection_loss: 1.567573
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.001631
train mean neg_ratio: 0.630664
train mean obj_acc: 0.834420
train mean objectness_loss: 0.400082
train mean pos_ratio: 0.090527
train mean sem_cls_loss: 4.204998
train mean size_reg_loss: 0.322311
train mean supervised_loss: 23.134784
train mean vote_loss: 0.745905
 ---- batch: 120 ----
train mean box_loss: 0.532315
train mean center_loss: 0.210097
train mean detection_loss: 1.542800
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.001598
train mean neg_ratio: 0.625684
train mean obj_acc: 0.832123
train mean objectness_loss: 0.399129
train mean pos_ratio: 0.092773
train mean sem_cls_loss: 4.054602
train mean size_reg_loss: 0.320620
train mean supervised_loss: 22.860544
train mean vote_loss: 0.743254
 ---- batch: 140 ----
train mean box_loss: 0.525609
train mean center_loss: 0.210073
train mean detection_loss: 1.586728
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.001589
train mean neg_ratio: 0.619141
train mean obj_acc: 0.816662
train mean objectness_loss: 0.410361
train mean pos_ratio: 0.092383
train mean sem_cls_loss: 4.279690
train mean size_reg_loss: 0.313947
train mean supervised_loss: 23.233819
train mean vote_loss: 0.736654

**** EPOCH 003 ****
Current BN decay momentum: 0.500000
2024-09-21 12:08:41.309832
 ---- batch: 020 ----
train mean box_loss: 0.540235
train mean center_loss: 0.209334
train mean detection_loss: 1.567413
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.001440
train mean neg_ratio: 0.600342
train mean obj_acc: 0.795145
train mean objectness_loss: 0.413944
train mean pos_ratio: 0.103857
train mean sem_cls_loss: 4.101031
train mean size_reg_loss: 0.329462
train mean supervised_loss: 23.025732
train mean vote_loss: 0.735160
 ---- batch: 040 ----
train mean box_loss: 0.486110
train mean center_loss: 0.200053
train mean detection_loss: 1.436066
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.001336
train mean neg_ratio: 0.591016
train mean obj_acc: 0.802824
train mean objectness_loss: 0.424596
train mean pos_ratio: 0.108203
train mean sem_cls_loss: 3.688290
train mean size_reg_loss: 0.284721
train mean supervised_loss: 21.290011
train mean vote_loss: 0.692935
 ---- batch: 060 ----
train mean box_loss: 0.495920
train mean center_loss: 0.196098
train mean detection_loss: 1.441946
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.001339
train mean neg_ratio: 0.614160
train mean obj_acc: 0.798813
train mean objectness_loss: 0.407654
train mean pos_ratio: 0.098437
train mean sem_cls_loss: 3.710994
train mean size_reg_loss: 0.298483
train mean supervised_loss: 21.945722
train mean vote_loss: 0.752626
 ---- batch: 080 ----
train mean box_loss: 0.470280
train mean center_loss: 0.205932
train mean detection_loss: 1.393356
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.001258
train mean neg_ratio: 0.618164
train mean obj_acc: 0.834497
train mean objectness_loss: 0.389005
train mean pos_ratio: 0.094971
train mean sem_cls_loss: 3.642869
train mean size_reg_loss: 0.263090
train mean supervised_loss: 21.624312
train mean vote_loss: 0.769075
 ---- batch: 100 ----
train mean box_loss: 0.504925
train mean center_loss: 0.203721
train mean detection_loss: 1.506997
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.001315
train mean neg_ratio: 0.612451
train mean obj_acc: 0.818285
train mean objectness_loss: 0.414065
train mean pos_ratio: 0.097852
train mean sem_cls_loss: 3.975195
train mean size_reg_loss: 0.299889
train mean supervised_loss: 22.217137
train mean vote_loss: 0.714717
 ---- batch: 120 ----
train mean box_loss: 0.520640
train mean center_loss: 0.205659
train mean detection_loss: 1.484398
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.001132
train mean neg_ratio: 0.613525
train mean obj_acc: 0.819761
train mean objectness_loss: 0.402749
train mean pos_ratio: 0.100146
train mean sem_cls_loss: 3.811919
train mean size_reg_loss: 0.313849
train mean supervised_loss: 22.353980
train mean vote_loss: 0.751000
 ---- batch: 140 ----
train mean box_loss: 0.533280
train mean center_loss: 0.203417
train mean detection_loss: 1.530693
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.000985
train mean neg_ratio: 0.597314
train mean obj_acc: 0.824549
train mean objectness_loss: 0.420404
train mean pos_ratio: 0.100195
train mean sem_cls_loss: 3.936053
train mean size_reg_loss: 0.328879
train mean supervised_loss: 22.557374
train mean vote_loss: 0.725045

**** EPOCH 004 ****
Current BN decay momentum: 0.500000
2024-09-21 12:09:17.015800
 ---- batch: 020 ----
train mean box_loss: 0.509628
train mean center_loss: 0.198219
train mean detection_loss: 1.481218
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.000952
train mean neg_ratio: 0.608643
train mean obj_acc: 0.814495
train mean objectness_loss: 0.403313
train mean pos_ratio: 0.102246
train mean sem_cls_loss: 3.849671
train mean size_reg_loss: 0.310457
train mean supervised_loss: 22.230343
train mean vote_loss: 0.741816
 ---- batch: 040 ----
train mean box_loss: 0.487049
train mean center_loss: 0.192788
train mean detection_loss: 1.421611
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.000921
train mean neg_ratio: 0.583008
train mean obj_acc: 0.811848
train mean objectness_loss: 0.432968
train mean pos_ratio: 0.108203
train mean sem_cls_loss: 3.590392
train mean size_reg_loss: 0.293340
