------------ Options -------------
ap_iou_threshold: 0.25
batch_size: 8
bn_decay_rate: 0.5
bn_decay_step: 20
cluster_sampling: vote_fps
conf_thresh: 0.05
consistency_ramp_len: 30
consistency_weight: 10.0
dataset: scannet
distillation_ramp_len: 30
distillation_weight: 1.0
ema_decay: 0.999
faster_eval: False
ft_layers: all
log_dir: /home/peisheng/SDCoT/log_scannet/log_basetrain_20240921-14:32
lr: 0.001
lr_decay_rate: 0.1
lr_decay_steps: [80, 120]
method: basetrain
model_checkpoint_path: None
model_name: None
n_epochs: 150
n_novel_class: 5
nms_iou: 0.25
no_height: False
num_input_channel: 1
num_point: 40000
num_target: 128
pc_augm: True
per_class_proposal: False
phase: train
pseudo_cls_conf_thresh: 0.9
pseudo_obj_conf_thresh: 0.95
use_3d_nms: False
use_cls_nms: False
use_color: False
use_old_type_nms: False
vote_factor: 1
-------------- End ----------------


**** EPOCH 000 ****
Current BN decay momentum: 0.500000
2024-09-21 14:32:58.932520
 ---- batch: 020 ----
train mean box_loss: 1.904358
train mean center_loss: 1.235630
train mean detection_loss: 4.018027
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.128874
train mean neg_ratio: 0.869092
train mean obj_acc: 0.919533
train mean objectness_loss: 0.293189
train mean pos_ratio: 0.020117
train mean sem_cls_loss: 9.835374
train mean size_reg_loss: 0.539853
train mean supervised_loss: 55.462397
train mean vote_loss: 1.528213
 ---- batch: 040 ----
train mean box_loss: 1.227972
train mean center_loss: 0.690548
train mean detection_loss: 2.934050
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.048903
train mean neg_ratio: 0.870703
train mean obj_acc: 0.977177
train mean objectness_loss: 0.190679
train mean pos_ratio: 0.020313
train mean sem_cls_loss: 8.053690
train mean size_reg_loss: 0.488522
train mean supervised_loss: 44.247856
train mean vote_loss: 1.490736
 ---- batch: 060 ----
train mean box_loss: 1.006794
train mean center_loss: 0.539074
train mean detection_loss: 2.521370
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.029159
train mean neg_ratio: 0.860205
train mean obj_acc: 0.974630
train mean objectness_loss: 0.182384
train mean pos_ratio: 0.022363
train mean sem_cls_loss: 7.116920
train mean size_reg_loss: 0.438562
train mean supervised_loss: 39.296928
train mean vote_loss: 1.408322
 ---- batch: 080 ----
train mean box_loss: 0.840697
train mean center_loss: 0.409916
train mean detection_loss: 2.363573
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.016988
train mean neg_ratio: 0.804297
train mean obj_acc: 0.962637
train mean objectness_loss: 0.240063
train mean pos_ratio: 0.031006
train mean sem_cls_loss: 7.014224
train mean size_reg_loss: 0.413793
train mean supervised_loss: 35.383747
train mean vote_loss: 1.174802
 ---- batch: 100 ----
train mean box_loss: 0.770998
train mean center_loss: 0.356790
train mean detection_loss: 2.248250
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.012616
train mean neg_ratio: 0.756934
train mean obj_acc: 0.941126
train mean objectness_loss: 0.287192
train mean pos_ratio: 0.042822
train mean sem_cls_loss: 6.668277
train mean size_reg_loss: 0.401592
train mean supervised_loss: 33.262801
train mean vote_loss: 1.078030
 ---- batch: 120 ----
train mean box_loss: 0.712422
train mean center_loss: 0.325537
train mean detection_loss: 2.043341
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.009556
train mean neg_ratio: 0.716943
train mean obj_acc: 0.914954
train mean objectness_loss: 0.308244
train mean pos_ratio: 0.049023
train mean sem_cls_loss: 5.883983
train mean size_reg_loss: 0.377329
train mean supervised_loss: 29.937390
train mean vote_loss: 0.950398
 ---- batch: 140 ----
train mean box_loss: 0.718942
train mean center_loss: 0.296676
train mean detection_loss: 2.050670
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.007910
train mean neg_ratio: 0.699316
train mean obj_acc: 0.889568
train mean objectness_loss: 0.341309
train mean pos_ratio: 0.055957
train mean sem_cls_loss: 5.805370
train mean size_reg_loss: 0.414356
train mean supervised_loss: 29.699617
train mean vote_loss: 0.919291

**** EPOCH 001 ****
Current BN decay momentum: 0.500000
2024-09-21 14:33:35.249143
 ---- batch: 020 ----
train mean box_loss: 0.659858
train mean center_loss: 0.285767
train mean detection_loss: 1.961319
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.005973
train mean neg_ratio: 0.672656
train mean obj_acc: 0.874563
train mean objectness_loss: 0.354112
train mean pos_ratio: 0.061865
train mean sem_cls_loss: 5.622028
train mean size_reg_loss: 0.368118
train mean supervised_loss: 28.220647
train mean vote_loss: 0.860745
 ---- batch: 040 ----
train mean box_loss: 0.629501
train mean center_loss: 0.263312
train mean detection_loss: 1.870332
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.005224
train mean neg_ratio: 0.656152
train mean obj_acc: 0.852967
train mean objectness_loss: 0.377960
train mean pos_ratio: 0.071436
train mean sem_cls_loss: 5.259253
train mean size_reg_loss: 0.360966
train mean supervised_loss: 27.318308
train mean vote_loss: 0.861499
 ---- batch: 060 ----
train mean box_loss: 0.596115
train mean center_loss: 0.251355
train mean detection_loss: 1.867306
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.004521
train mean neg_ratio: 0.658301
train mean obj_acc: 0.854919
train mean objectness_loss: 0.361712
train mean pos_ratio: 0.071289
train mean sem_cls_loss: 5.451675
train mean size_reg_loss: 0.340238
train mean supervised_loss: 26.726127
train mean vote_loss: 0.805307
 ---- batch: 080 ----
train mean box_loss: 0.640354
train mean center_loss: 0.253918
train mean detection_loss: 1.906421
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.003987
train mean neg_ratio: 0.646436
train mean obj_acc: 0.831875
train mean objectness_loss: 0.398377
train mean pos_ratio: 0.074463
train mean sem_cls_loss: 5.334393
train mean size_reg_loss: 0.382449
train mean supervised_loss: 27.332876
train mean vote_loss: 0.826867
 ---- batch: 100 ----
train mean box_loss: 0.621811
train mean center_loss: 0.250443
train mean detection_loss: 1.887188
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.003956
train mean neg_ratio: 0.639990
train mean obj_acc: 0.837057
train mean objectness_loss: 0.398211
train mean pos_ratio: 0.074023
train mean sem_cls_loss: 5.331357
train mean size_reg_loss: 0.367413
train mean supervised_loss: 26.962171
train mean vote_loss: 0.809029
 ---- batch: 120 ----
train mean box_loss: 0.565543
train mean center_loss: 0.237371
train mean detection_loss: 1.798026
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.003616
train mean neg_ratio: 0.611133
train mean obj_acc: 0.839549
train mean objectness_loss: 0.420581
train mean pos_ratio: 0.084961
train mean sem_cls_loss: 5.110959
train mean size_reg_loss: 0.324557
train mean supervised_loss: 25.732182
train mean vote_loss: 0.775192
 ---- batch: 140 ----
train mean box_loss: 0.536805
train mean center_loss: 0.231754
train mean detection_loss: 1.715116
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.003480
train mean neg_ratio: 0.633643
train mean obj_acc: 0.818949
train mean objectness_loss: 0.393058
train mean pos_ratio: 0.080859
train mean sem_cls_loss: 4.908912
train mean size_reg_loss: 0.301571
train mean supervised_loss: 25.204193
train mean vote_loss: 0.805303

**** EPOCH 002 ****
Current BN decay momentum: 0.500000
2024-09-21 14:34:10.569716
 ---- batch: 020 ----
train mean box_loss: 0.559245
train mean center_loss: 0.235347
train mean detection_loss: 1.714422
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.003685
train mean neg_ratio: 0.628711
train mean obj_acc: 0.830796
train mean objectness_loss: 0.405023
train mean pos_ratio: 0.084717
train mean sem_cls_loss: 4.763330
train mean size_reg_loss: 0.320213
train mean supervised_loss: 25.243301
train mean vote_loss: 0.809908
 ---- batch: 040 ----
train mean box_loss: 0.533812
train mean center_loss: 0.235355
train mean detection_loss: 1.663175
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.003271
train mean neg_ratio: 0.612061
train mean obj_acc: 0.822247
train mean objectness_loss: 0.420157
train mean pos_ratio: 0.087549
train mean sem_cls_loss: 4.596418
train mean size_reg_loss: 0.295186
train mean supervised_loss: 24.299218
train mean vote_loss: 0.766747
 ---- batch: 060 ----
train mean box_loss: 0.571981
train mean center_loss: 0.228505
train mean detection_loss: 1.722391
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.002774
train mean neg_ratio: 0.640283
train mean obj_acc: 0.839674
train mean objectness_loss: 0.392612
train mean pos_ratio: 0.083154
train mean sem_cls_loss: 4.770516
train mean size_reg_loss: 0.340702
train mean supervised_loss: 24.904591
train mean vote_loss: 0.768068
 ---- batch: 080 ----
train mean box_loss: 0.580298
train mean center_loss: 0.223129
train mean detection_loss: 1.654128
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.002668
train mean neg_ratio: 0.635400
train mean obj_acc: 0.841948
train mean objectness_loss: 0.383637
train mean pos_ratio: 0.082666
train mean sem_cls_loss: 4.410061
train mean size_reg_loss: 0.354501
train mean supervised_loss: 24.289448
train mean vote_loss: 0.774816
 ---- batch: 100 ----
train mean box_loss: 0.550495
train mean center_loss: 0.220465
train mean detection_loss: 1.655549
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.002569
train mean neg_ratio: 0.626807
train mean obj_acc: 0.835974
train mean objectness_loss: 0.398031
train mean pos_ratio: 0.086084
train mean sem_cls_loss: 4.530191
train mean size_reg_loss: 0.327461
train mean supervised_loss: 24.430856
train mean vote_loss: 0.787537
 ---- batch: 120 ----
train mean box_loss: 0.562890
train mean center_loss: 0.228222
train mean detection_loss: 1.683390
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.002331
train mean neg_ratio: 0.636670
train mean obj_acc: 0.814134
train mean objectness_loss: 0.387984
train mean pos_ratio: 0.083398
train mean sem_cls_loss: 4.632541
train mean size_reg_loss: 0.332338
train mean supervised_loss: 24.698660
train mean vote_loss: 0.786476
