------------ Options -------------
ap_iou_threshold: 0.25
batch_size: 8
bn_decay_rate: 0.5
bn_decay_step: 20
cluster_sampling: vote_fps
conf_thresh: 0.05
consistency_ramp_len: 30
consistency_weight: 10.0
dataset: scannet
distillation_ramp_len: 30
distillation_weight: 1.0
ema_decay: 0.999
faster_eval: False
ft_layers: all
log_dir: /home/peisheng/SDCoT/log_scannet/log_finetune_20240518-13:31
lr: 0.001
lr_decay_rate: 0.1
lr_decay_steps: [80, 120]
method: finetune
model_checkpoint_path: log_scannet/log_basetrain_20240517-22:53
model_name: None
n_epochs: 100
n_novel_class: 9
nms_iou: 0.25
no_height: False
num_input_channel: 1
num_point: 40000
num_target: 128
pc_augm: True
per_class_proposal: False
phase: train
pseudo_cls_conf_thresh: 0.9
pseudo_obj_conf_thresh: 0.95
use_3d_nms: False
use_cls_nms: False
use_color: False
use_old_type_nms: False
vote_factor: 1
-------------- End ----------------


**** EPOCH 000 ****
2024-05-18 13:31:03.123719
 ---- batch: 020 ----
train mean box_loss: 5.475352
train mean center_loss: 2.130592
train mean detection_loss: 14.682940
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.002191
train mean neg_ratio: 15.731445
train mean obj_acc: 16.700036
train mean objectness_loss: 2.956069
train mean pos_ratio: 1.107422
train mean sem_cls_loss: 38.647772
train mean size_reg_loss: 3.342568
train mean supervised_loss: 271.828727
train mean vote_loss: 12.499932
 ---- batch: 040 ----
train mean box_loss: 4.884546
train mean center_loss: 1.909830
train mean detection_loss: 11.169593
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.000413
train mean neg_ratio: 15.800781
train mean obj_acc: 17.818590
train mean objectness_loss: 1.979751
train mean pos_ratio: 1.117188
train mean sem_cls_loss: 26.475857
train mean size_reg_loss: 2.974303
train mean supervised_loss: 219.225783
train mean vote_loss: 10.752985
 ---- batch: 060 ----
train mean box_loss: 4.402148
train mean center_loss: 1.888967
train mean detection_loss: 9.524621
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.000186
train mean neg_ratio: 15.190430
train mean obj_acc: 17.566351
train mean objectness_loss: 2.195670
train mean pos_ratio: 1.269531
train mean sem_cls_loss: 20.123192
train mean size_reg_loss: 2.512994
train mean supervised_loss: 199.999128
train mean vote_loss: 10.475292
