------------ Options -------------
ap_iou_threshold: 0.25
batch_size: 8
bn_decay_rate: 0.5
bn_decay_step: 20
cluster_sampling: vote_fps
conf_thresh: 0.05
consistency_ramp_len: 30
consistency_weight: 10.0
dataset: scannet
distillation_ramp_len: 30
distillation_weight: 1.0
ema_decay: 0.999
faster_eval: False
ft_layers: last
log_dir: /home/peisheng/SDCoT/log_scannet/log_finetune_20240525-20:52
lr: 0.001
lr_decay_rate: 0.1
lr_decay_steps: [80, 120]
method: finetune
model_checkpoint_path: log_scannet/log_basetrain_20240517-22:53
model_name: None
n_epochs: 100
n_novel_class: 9
nms_iou: 0.25
no_height: False
num_input_channel: 1
num_point: 40000
num_target: 128
pc_augm: True
per_class_proposal: False
phase: train
pseudo_cls_conf_thresh: 0.9
pseudo_obj_conf_thresh: 0.95
use_3d_nms: False
use_cls_nms: False
use_color: False
use_old_type_nms: False
vote_factor: 1
-------------- End ----------------


**** EPOCH 000 ****
2024-05-25 20:52:27.987181
 ---- batch: 020 ----
train mean box_loss: 5.897699
train mean center_loss: 3.119412
train mean detection_loss: 17.562971
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.000000
train mean neg_ratio: 15.329102
train mean obj_acc: 15.274544
train mean objectness_loss: 5.588027
train mean pos_ratio: 1.159180
train mean sem_cls_loss: 44.356291
train mean size_reg_loss: 2.778287
train mean supervised_loss: 313.367934
train mean vote_loss: 13.773823
 ---- batch: 040 ----
train mean box_loss: 5.698439
train mean center_loss: 2.785059
train mean detection_loss: 15.884964
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.000000
train mean neg_ratio: 15.394531
train mean obj_acc: 15.402036
train mean objectness_loss: 5.560133
train mean pos_ratio: 1.125000
train mean sem_cls_loss: 37.032295
train mean size_reg_loss: 2.913380
train mean supervised_loss: 296.319743
train mean vote_loss: 13.747011
 ---- batch: 060 ----
train mean box_loss: 6.857541
train mean center_loss: 2.895797
train mean detection_loss: 16.287170
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.000000
train mean neg_ratio: 15.167969
train mean obj_acc: 15.025931
train mean objectness_loss: 5.879604
train mean pos_ratio: 1.163086
train mean sem_cls_loss: 32.449135
train mean size_reg_loss: 3.961744
train mean supervised_loss: 298.869877
train mean vote_loss: 13.599818
 ---- batch: 080 ----
train mean box_loss: 5.752289
train mean center_loss: 2.757171
train mean detection_loss: 14.966134
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.000000
train mean neg_ratio: 15.095703
train mean obj_acc: 15.094625
train mean objectness_loss: 6.101231
train mean pos_ratio: 1.203125
train mean sem_cls_loss: 30.816146
train mean size_reg_loss: 2.995118
train mean supervised_loss: 294.409613
train mean vote_loss: 14.474827
 ---- batch: 100 ----
train mean box_loss: 6.259475
train mean center_loss: 2.875876
train mean detection_loss: 14.681187
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.000000
train mean neg_ratio: 15.352539
train mean obj_acc: 15.126271
train mean objectness_loss: 5.629931
train mean pos_ratio: 1.136719
train mean sem_cls_loss: 28.033731
train mean size_reg_loss: 3.383599
train mean supervised_loss: 283.313629
train mean vote_loss: 13.650176
 ---- batch: 120 ----
train mean box_loss: 6.220775
train mean center_loss: 3.156196
train mean detection_loss: 14.251359
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.000000
train mean neg_ratio: 15.773438
train mean obj_acc: 15.321022
train mean objectness_loss: 5.356483
train mean pos_ratio: 0.967773
train mean sem_cls_loss: 26.761713
train mean size_reg_loss: 3.064580
train mean supervised_loss: 289.156217
train mean vote_loss: 14.664262
 ---- batch: 140 ----
train mean box_loss: 6.034859
train mean center_loss: 2.809858
train mean detection_loss: 13.990695
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.000000
train mean neg_ratio: 15.475586
train mean obj_acc: 15.116114
train mean objectness_loss: 5.498013
train mean pos_ratio: 1.111328
train mean sem_cls_loss: 26.034149
train mean size_reg_loss: 3.225001
train mean supervised_loss: 280.537790
train mean vote_loss: 14.063084

**** EPOCH 001 ****
2024-05-25 20:52:48.139097
 ---- batch: 020 ----
train mean box_loss: 6.635514
train mean center_loss: 2.814139
train mean detection_loss: 14.400738
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.000000
train mean neg_ratio: 15.164062
train mean obj_acc: 15.149366
train mean objectness_loss: 5.699911
train mean pos_ratio: 1.249023
train mean sem_cls_loss: 24.576340
train mean size_reg_loss: 3.821375
train mean supervised_loss: 279.373135
train mean vote_loss: 13.536576
 ---- batch: 040 ----
train mean box_loss: 6.058272
train mean center_loss: 2.827935
train mean detection_loss: 13.528361
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.000000
train mean neg_ratio: 15.396484
train mean obj_acc: 15.157367
train mean objectness_loss: 5.624500
train mean pos_ratio: 1.092773
train mean sem_cls_loss: 23.289199
train mean size_reg_loss: 3.230337
train mean supervised_loss: 273.316378
train mean vote_loss: 13.803276
 ---- batch: 060 ----
train mean box_loss: 5.934080
train mean center_loss: 2.907495
train mean detection_loss: 13.016191
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.000000
train mean neg_ratio: 15.410156
train mean obj_acc: 15.206977
train mean objectness_loss: 5.508005
train mean pos_ratio: 1.103516
train mean sem_cls_loss: 21.640543
train mean size_reg_loss: 3.026585
train mean supervised_loss: 272.560847
train mean vote_loss: 14.239893
 ---- batch: 080 ----
train mean box_loss: 6.506692
train mean center_loss: 3.119549
train mean detection_loss: 13.789090
train mean heading_cls_loss: 0.000000
train mean heading_reg_loss: 0.000000
train mean neg_ratio: 15.378906
train mean obj_acc: 15.295114
train mean objectness_loss: 5.581923
train mean pos_ratio: 1.126953
